"ASCED Field of Education",,"Higher Education Discipline Groups",
"031301","Electrical Engineering","0703","Electrical, Electronic, Computer, Communications"
"031303","Electronic Engineering","0703","Electrical, Electronic, Computer, Communications"
"031305","Computer Engineering","0703","Electrical, Electronic, Computer, Communications"
"031307","Communications Technologies","0703","Electrical, Electronic, Computer, Communications"
"031309","Communications Equipment Installation andMaintenance","0703","Electrical, Electronic, Computer, Communications"
"031311","Powerline Installation and Maintenance","0703","Electrical, Electronic, Computer, Communications"
"031313","Electrical Fitting, Electrical Mechanics","0703","Electrical, Electronic, Computer, Communications"
"031315","Refrigeration and Air Conditioning Mechanics","0703","Electrical, Electronic, Computer, Communications"
"031317","Electronic Equipment Servicing","0703","Electrical, Electronic, Computer, Communications"
"031399","Electrical and Electronic Engineering andTechnology, n.e.c.","0703","Electrical, Electronic, Computer, Communications"
"031501","Aerospace Engineering","0704","Mechanical, Automotive, Aeronautical"
"031503","Aircraft Maintenance Engineering","0704","Mechanical, Automotive, Aeronautical"
"031505","Aircraft Operation","0704","Mechanical, Automotive, Aeronautical"
"031507","Air Traffic Control","0704","Mechanical, Automotive, Aeronautical"
"031599","Aerospace Engineering and Technology, n.e.c.","0704","Mechanical, Automotive, Aeronautical"
"031701","Maritime Engineering","0799","Other Engineering, Processing"
"031703","Marine Construction","0799","Other Engineering, Processing"
"031705","Marine Craft Operation","0799","Other Engineering, Processing"
,,"1102","Animal Husbandry"
"031799","Maritime Engineering and Technology, n.e.c.","0799","Other Engineering, Processing"
"039901","Environmental Engineering","0702","Civil, Structural"
"039903","Biomedical Engineering","0799","Other Engineering, Processing"
"039905","Fire Technology","0799","Other Engineering, Processing"
"039907","Rail Operations","0799","Other Engineering, Processing"
"039909","Cleaning","0799","Other Engineering, Processing"
"039999","Engineering and Related Technologies, n.e.c.","0704","Mechanical, Automotive, Aeronautical"
,,"0799","Other Engineering, Processing"
"04","ARCHITECTURE AND BUILDING",,
"040101","Architecture","1001","Architecture"
"040103","Urban Design and Regional Planning","1002","Environmental/Product Design"
"040105","Landscape Architecture","1002","Environmental/Product Design"
"040107","Interior and Environmental Design","1002","Environmental/Product Design"
"040199","Architecture and Urban Environment, n.e.c.","1099","Other Built Environment"
"040301","Building Science and Technology","0702","Civil, Structural"
,,"1003","Building, Construction"
"040303","Building Construction Management","1003","Building, Construction"
"040305","Building Surveying","1003","Building, Construction"
"040307","Building Construction Economics","1003","Building, Construction"
"040309","Bricklaying and Stonemasonry","1003","Building, Construction"
"040311","Carpentry and Joinery","1003","Building, Construction"
"040313","Ceiling, Wall and Floor Fixing","1003","Building, Construction"
"040315","Roof Fixing","1003","Building, Construction"
"040317","Plastering","1003","Building, Construction"
"040319","Furnishing Installation","1003","Building, Construction"
"040321","Floor Coverings","1003","Building, Construction"
"040323","Glazing","1003","Building, Construction"
"040325","Painting, Decorating and Sign Writing","1003","Building, Construction"
"040327","Plumbing","1003","Building, Construction"
"040329","Scaffolding and Rigging","1003","Building, Construction"
"040399","Building, n.e.c.","1099","Other Built Environment"
"05","AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",,
"050101","Agricultural Science","1101","Agriculture"
"050103","Wool Science","1101","Agriculture"
"050105","Animal Husbandry","1102","Animal Husbandry"
"050199","Agriculture, n.e.c.","1101","Agriculture"
"050301","Horticulture","1101","Agriculture"
"050303","Viticulture","1101","Agriculture"
"050501","Forestry Studies","1103","Forestry, Parks, Wildlife"
"050701","Aquaculture","1102","Animal Husbandry"
"050799","Fisheries Studies, n.e.c.","1102","Animal Husbandry"
"050901","Land, Parks and Wildlife Management","1103","Forestry, Parks, Wildlife"
"050999","Environmental Studies, n.e.c.","1199","Other Agriculture, Renewable Resources"
"059901","Pest and Weed Control","1199","Other Agriculture, Renewable Resources"
"059999","Agriculture, Environmental and Related Studies, n.e.c.","1199","Other Agriculture, Renewable Resources"
"06","HEALTH",,
"060101","General Medicine","0806","Medicine, Medical Science"
"060103","Surgery","0806","Medicine, Medical Science"
"060105","Psychiatry","0806","Medicine, Medical Science"
"060107","Obstetrics and Gynaecology","0806","Medicine, Medical Science"
"060109","Paediatrics","0806","Medicine, Medical Science"
"060111","Anaesthesiology","0806","Medicine, Medical Science"
"060113","Pathology","0806","Medicine, Medical Science"
"060115","Radiology","0806","Medicine, Medical Science"
"060117","Internal Medicine","0806","Medicine, Medical Science"
"060119","General Practice","0806","Medicine, Medical Science"
"060199","Medical Studies, n.e.c.","0806","Medicine, Medical Science"
"060301","General Nursing","0803","Nursing"
"060303","Midwifery","0803","Nursing"
"060305","Mental Health Nursing","0803","Nursing"
"060307","Community Nursing","0803","Nursing"
"060309","Critical Care Nursing","0803","Nursing"
"060311","Aged Care Nursing","0803","Nursing"
"060313","Palliative Care Nursing","0803","Nursing"
"060315","Mothercraft Nursing and Family and Child Health Nursing","0803","Nursing"
"060399","Nursing, n.e.c.","0803","Nursing"
"060501","Pharmacy","0404","Pharmacology"
"060701","Dentistry","0807","Dentistry, Dental Services"
"060703","Dental Assisting","0807","Dentistry, Dental Services"
"060705","Dental Technology","0807","Dentistry, Dental Services"
"060799","Dental Studies, n.e.c.","0807","Dentistry, Dental Services"
"060901","Optometry","0808","Optometry, Optical Technology"
"060903","Optical Technology","0808","Optometry, Optical Technology"
"060999","Optical Science, n.e.c.","0808","Optometry, Optical Technology"
"061101","Veterinary Science","1104","Veterinary Science"
"061103","Veterinary Assisting","1104","Veterinary Science"
"061199","Veterinary Studies, n.e.c.","1104","Veterinary Science"
"061301","Occupational Health and Safety","0805","Environmental Health"
"061303","Environmental Health","0805","Environmental Health"
"061305","Indigenous Health","0809","Community/Family/Personal Health Care"
"061307","Health Promotion","0809","Community/Family/Personal Health Care"
"061309","Community Health","0809","Community/Family/Personal Health Care"
"061311","Epidemiology","0805","Environmental Health"
"061399","Public Health, n.e.c.","0805","Environmental Health"
"061501","Radiography","0801","Medical Technology"
"061701","Physiotherapy","0802","Therapies, Therapeutic Technology"
"061703","Occupational Therapy","0802","Therapies, Therapeutic Technology"
"061705","Chiropractic and Osteopathy","0802","Therapies, Therapeutic Technology"
"061707","Speech Pathology","0802","Therapies, Therapeutic Technology"
"061709","Audiology","0802","Therapies, Therapeutic Technology"
"061711","Massage Therapy","0802","Therapies, Therapeutic Technology"
"061713","Podiatry","0802","Therapies, Therapeutic Technology"
"061799","Rehabilitation Therapies, n.e.c.","0802","Therapies, Therapeutic Technology"
"061901","Naturopathy","0899","Other Health Sciences"
"061903","Acupuncture","0899","Other Health Sciences"
"061905","Traditional Chinese Medicine","0899","Other Health Sciences"
"061999","Complementary Therapies, n.e.c.","0899","Other Health Sciences"
"069901","Nutrition and Dietetics","0804","Nutrition, Dietetics"
"069903","Human Movement","0205","Sport, Recreation"
"069905","Paramedical Studies","0899","Other Health Sciences"
"069907","First Aid","0899","Other Health Sciences"
"069999","Health, n.e.c.","0899","Other Health Sciences"
"07","EDUCATION",,
"070101","Teacher Education: Early Childhood","0301","Education Studies"
,,"0302","Teaching Practice"
"070103","Teacher Education: Primary","0301","Education Studies"
,,"0302","Teaching Practice"
"070105","Teacher Education: Secondary","0301","Education Studies"
,,"0302","Teaching Practice"
"070107","Teacher-Librarianship","0301","Education Studies"
,,"0302","Teaching Practice"
"070109","Teacher Education: Vocational Education and","0301","Education Studies"
,"Training","0302","Teaching Practice"
"070111","Teacher Education: Higher Education","0301","Education Studies"
,,"0302","Teaching Practice"
"070113","Teacher Education: Special Education","0301","Education Studies"
,,"0302","Teaching Practice"
"070115","English as a Second Language Teaching","0301","Education Studies"
,,"0302","Teaching Practice"
"070117","Nursing Education Teacher Training","0301","Education Studies"
,,"0302","Teaching Practice"
"070199","Teacher Education, n.e.c.","0301","Education Studies"
,,"0302","Teaching Practice"
,,"0601","Art"
"070301","Curriculum Studies","0301","Education Studies"
"070303","Education Studies","0301","Education Studies"
"079999","Education, n.e.c.","0301","Education Studies"
"08","MANAGEMENT AND COMMERCE",,
"080101","Accounting","0902","Accounting"
"080301","Business Management","0903","Commerce, Sales, Services"
"080303","Human Resource Management","0904","Management, Administration"
"080305","Personal Management Training","0","No correspondence"
"080307","Organisation Management","0904","Management, Administration"
"080309","Industrial Relations","0904","Management, Administration"
"080311","International Business","0903","Commerce, Sales, Services"
"080313","Public and Health Care Administration","0301","Education Studies"
,,"0904","Management, Administration"
"080315","Project Management","0904","Management, Administration"
"080317","Quality Management","0904","Management, Administration"
"080319","Hospitality Management","0904","Management, Administration"
"080321","Farm Management and Agribusiness","0904","Management, Administration"
"080323","Tourism Management","0904","Management, Administration"
"080399","Business and Management, n.e.c.","0903","Commerce, Sales, Services"
,,"0904","Management, Administration"
,,"0999","Other Administration, Business and Economics"
"080501","Sales","0903","Commerce, Sales, Services"
"080503","Real Estate","0903","Commerce, Sales, Services"
"080505","Marketing","0903","Commerce, Sales, Services"
"080507","Advertising","0903","Commerce, Sales, Services"
"080509","Public Relations","0903","Commerce, Sales, Services"
"080599","Sales and Marketing, n.e.c.","0903","Commerce, Sales, Services"
,,"0999","Other Administration, Business and Economics"
"080701","Tourism","0903","Commerce, Sales, Services"
"080901","Secretarial and Clerical Studies","0905","Secretarial Studies"
"080903","Keyboard Skills","0905","Secretarial Studies"
"080905","Practical Computing Skills","0905","Secretarial Studies"
"080999","Office Studies, n.e.c.","0905","Secretarial Studies"
"081101","Banking and Finance","0903","Commerce, Sales, Services"
"081103","Insurance and Actuarial Studies","0501","Mathematics, Statistics"
,,"0903","Commerce, Sales, Services"
"081105","Investment and Securities","0903","Commerce, Sales, Services"
"081199","Banking, Finance and Related Fields, n.e.c.","0903","Commerce, Sales, Services"
,,"0999","Other Administration, Business and Economics"
"89901","Purchasing, Warehousing and Distribution","0903","Commerce, Sales, Services"
"89903","Valuation","0903","Commerce, Sales, Services"
"89999","Management and Commerce, n.e.c.","0903","Commerce, Sales, Services"
,,"0904","Management, Administration"
"09","SOCIETY AND CULTURE",,
"090101","Political Science","0206","Political Science, Government"
"090103","Policy Studies","0206","Political Science, Government"
"090301","Sociology","0207","Sociology"
"090303","Anthropology","0207","Sociology"
"090305","History","0102","History"
,,"0301","Education Studies"
,,"0601","Art"
"090307","Archaeology","0102","History"
"090309","Human Geography","0202","Geography"
"090311","Indigenous Studies","0104","Ethnic/Area Studies"
"090313","Gender Specific Studies","0299","Other Social Studies"
"090399","Studies in Human Society, n.e.c.","0104","Ethnic/Area Studies"
,,"0299","Other Social Studies"
"090501","Social Work","0204","Welfare, Counselling"
"090503","Children’s Services","0809","Community/Family/Personal Health Care"
"090505","Youth Work","0204","Welfare, Counselling"
"090507","Care for the Aged","0809","Community/Family/Personal Health Care"
"090509","Care for the Disabled","0809","Community/Family/Personal Health Care"
"090511","Residential Client Care","0809","Community/Family/Personal Health Care"
"090513","Counselling","0204","Welfare, Counselling"
,,"0301","Education Studies"
,,"0809","Community/Family/Personal Health Care"
"090515","Welfare Studies","0204","Welfare, Counselling"
"090599","Human Welfare Studies and Services, n.e.c.","0204","Welfare, Counselling"
"090701","Psychology","0201","Behavioural Sciences"
,,"0301","Education Studies"
"090799","Behavioural Science, n.e.c.","0201","Behavioural Sciences"
"090901","Business and Commercial Law","0906","Law"
"090903","Constitutional Law","0906","Law"
"090905","Criminal Law","0906","Law"
"090907","Family Law","0906","Law"
"090909","International Law","0906","Law"
"090911","Taxation Law","0906","Law"
"090913","Legal Practice","0906","Law"
"090999","Law, n.e.c.","0906","Law"
"091101","Justice Administration","0907","Justice and Legal Studies"
"091103","Legal Studies","0907","Justice and Legal Studies"
"091105","Police Studies","0907","Justice and Legal Studies"
"091199","Justice and Law Enforcement, n.e.c.","0907","Justice and Legal Studies"
"091301","Librarianship and Information Management","0203","Library/Archival Studies"
,,"0904","Management, Administration"
"091303","Curatorial Studies","0601","Art"
"091501","English Language","0101","English"
"091503","Northern European Languages","0105","Languages other than English"
"091505","Southern European Languages","0105","Languages other than English"
"091507","Eastern European Languages","0105","Languages other than English"
"091509","Southwest Asian and North African Languages","0105","Languages other than English"
"091511","Southern Asian Languages","0105","Languages other than English"
"091513","Southeast Asian Languages","0105","Languages other than English"
"091515","Eastern Asian Languages","0105","Languages other than English"
"091517","Australian Indigenous Languages","0105","Languages other than English"
"091519","Translating and Interpreting","0105","Languages other than English"
"091521","Linguistics","0199","Other Humanities"
"091523","Literature","0101","English"
,,"0199","Other Humanities"
"091599","Language and Literature, n.e.c.","0105","Languages other than English"
"091701","Philosophy","0103","Philosophy"
"091703","Religious Studies","0107","Religious Studies"
"091901","Economics","0901","Economics"
"091903","Econometrics","0901","Economics"
"092101","Sport and Recreation Activities","0205","Sport, Recreation"
"092103","Sports Coaching, Officiating and Instruction","0205","Sport, Recreation"
"092199","Sport and Recreation, n.e.c.","0205","Sport, Recreation"
"099901","Family and Consumer Studies","0299","Other Social Studies"
"099903","Criminology","0201","Behavioural Sciences"
,,"0907","Justice and Legal Studies"
"099905","Security Services","0","No correspondence"
"099999","Society and Culture, n.e.c.","0299","Other Social Studies"
"10","CREATIVE ARTS",,
"100101","Music","0605","Music"
"100103","Drama and Theatre Studies","0604","Performing Arts"
"100105","Dance","0604","Performing Arts"
"100199","Performing Arts, n.e.c.","0604","Performing Arts"
"100301","Fine Arts","0601","Art"
"100303","Photography","0601","Art"
"100305","Crafts","0601","Art"
,,"0603","Craft, Ornaments"
"100307","Jewellery Making","0603","Craft, Ornaments"
"100309","Floristry","0603","Craft, Ornaments"
"100399","Visual Arts and Crafts, n.e.c.","0601","Art"
"100501","Graphic Arts and Design Studies","0602","Graphic Arts/Fashion Design"
,,"1002","Environmental/Product Design"
"100503","Textile Design","0603","Craft, Ornaments"
"100505","Fashion Design","0602","Graphic Arts/Fashion Design"
"100599","Graphic and Design Studies, n.e.c.","0602","Graphic Arts/Fashion Design"
"100701","Audio Visual Studies","0106","Communication Studies"
,,"0601","Art"
"100703","Journalism","0106","Communication Studies"
"100705","Written Communication","0101","English"
,,"0106","Communication Studies"
"100707","Verbal Communication","0101","English"
,,"0106","Communication Studies"
"100799","Communication and Media Studies, n.e.c.","0106","Communication Studies"
"109999","Creative Arts, n.e.c.","0699","Other Visual/Performing Arts"
"11","FOOD, HOSPITALITY AND PERSONAL SERVICES",,
"110101","Hospitality","0903","Commerce, Sales, Services"
"110103","Food and Beverage Service","0","No correspondence"
"110105","Butchery","0","No correspondence"
"110107","Baking and Pastrymaking","0","No correspondence"
"110109","Cookery","0","No correspondence"
"110111","Food Hygiene","0","No correspondence"
"110199","Food and Hospitality, n.e.c.","0","No correspondence"
"110301","Beauty Therapy","0","No correspondence"
"110303","Hairdressing","0","No correspondence"
"110399","Personal Services, n.e.c.","0","No correspondence"
"12","MIXED FIELD PROGRAMMES",,
"120101","General Primary and Secondary EducationProgrammes","0","No correspondence"
"120103","Literacy and Numeracy Programmes","0","No correspondence"
"120105","Learning Skills Programmes","0","No correspondence"
"120199","General Education Programmes, n.e.c.","0","No correspondence"
"120301","Social and Interpersonal Skills Programmes","0","No correspondence"
"120303","Survival Skills Programmes","0","No correspondence"
"120305","Parental Education Programmes","0","No correspondence"
"120399","Social Skills Programmes, n.e.c.","0","No correspondence"
"120501","Career Development Programmes","0","No correspondence"
"120503","Job Search Skills Programmes","0","No correspondence"
"120505","Work Practices Programmes","0","No correspondence"
"120599","Employment Skills Programmes, n.e.c.","0","No correspondence"
"129999","Mixed Field Programmes, n.e.c.","0","No correspondence"

"Source: Australian Bureau of Statistics, Appendix 10, ASCED - Higher Education Discipline Groups Correspondence Table 2001"
