"FOSCHEC",,"ASCED Field of Education",
,,"091599","Language and Literature, n.e.c."
"030401","Visual and Performing Arts - General","100000","Creative Arts, n.f.d."
"030402","Conservation of Art and Cultural Material","091303","Curatorial Studies"
"030403","Crafts","100305","Crafts"
,,"100307","Jewellery Making"
"030404","Dance","100105","Dance"
"030405","Dramatic Arts","100103","Drama and Theatre Studies"
"030406","Film and Photographic Arts","100303","Photography"
,,"100701","Audio Visual Studies"
"030407","Fine Arts","100301","Fine Arts"
"030408","Graphic Arts and Design","100501","Graphic Arts and Design Studies"
"030409","Music","100101","Music"
"030499","Visual and Performing Arts - Other","100199","Performing Arts, n.e.c."
,,"100399","Visual Arts and Crafts, n.e.c."
,,"100503","Textile Design"
,,"100505","Fashion Design"
,,"100599","Graphic and Design Studies, n.e.c."
,,"109999","Creative Arts, n.e.c."
"04","BUSINESS, ADMINISTRATION, ECONOMICS",,
"040101","Business, Administration, Economics - General","0","No correspondence"
"040201","Business, Administration - General","080000","Management and Commerce, n.f.d."
"040202","Accounting","080101","Accounting"
"040203","Administration and Management (not Agricultural","080301","Business Management"
,"Management or Rural Management)","080307","Organisation Management"
,,"080311","International Business"
,,"089999","Management and Commerce, n.e.c."
"040204","Banking and Finance","081101","Banking and Finance"
,,"081103","Insurance and Actuarial Studies"
,,"081105","Investment and Securities"
,,"081199","Banking, Finance and Related Fields, n.e.c."
"040205","Business Data Processing","080905","Practical Computing Skills"
"040206","Industrial Relations","080309","Industrial Relations"
"040207","Hotel and Hospitality Management","080319","Hospitality Management"
,,"080323","Tourism Management"
,,"080701","Tourism"
,,"110101","Hospitality"
,,"110199","Food and Hospitality, n.e.c."
"040208","Marketing and Distribution","080501","Sales"
,,"080505","Marketing"
,,"080507","Advertising"
,,"080599","Sales and Marketing, n.e.c."
,,"089901","Purchasing, Warehousing and Distribution"
"040209","Personnel Management and Development","080303","Human Resource Management"
"040210","Public Administration","080313","Public and Health Care Administration"
"040211","Secretarial Studies","080901","Secretarial and Clerical Studies"
,,"080903","Keyboard Skills"
,,"080999","Office Studies, n.e.c."
"040212","Valuation and Real Estate","080503","Real Estate"
,,"089903","Valuation"
"040299","Business, Administration - Other","080305","Personal Management Training"
,,"080317","Quality Management"
,,"080399","Business and Management, n.e.c."
,,"080509","Public Relations"
,,"081199","Banking, Finance and Related Fields, n.e.c."
"040301","Economics - General","091901","Economics"
"040302","Agricultural Economics","091901","Economics"
"040303","Economic History","090305","History"
"040304","Economic Statistics/Econometrics","091903","Econometrics"
"040399","Economics - Other","091901","Economics"
"05","EDUCATION",,
"050101","Education - General","070000","Education, n.f.d."
"050201","Initial Teacher Education - General","070100","Teacher Education, n.f.d."
"050202","Initial Early Childhood Teacher Education","070101","Teacher Education: Early Childhood"
"050203","Initial Primary Teacher Education","070103","Teacher Education: Primary"
"050204","Initial Secondary Teacher Education","070105","Teacher Education: Secondary"
"050205","Initial TAFE Teacher Education","070109","Teacher Education: Vocational Education and Training"
"050206","Initial Special Teacher Education","070113","Teacher Education: Special Education"
"050299","Initial Teacher Education - Other","070199","Teacher Education, n.e.c."
"050301","Post-initial Teacher Education - General","070100","Teacher Education, n.f.d."
"050302","Post-initial Early Childhood Teacher Education","070101","Teacher Education: Early Childhood"
"050303","Post-initial Primary Teacher Education","070103","Teacher Education: Primary"
"050304","Post-initial Secondary Teacher Education","070105","Teacher Education: Secondary"
"050305","Post-initial TAFE Teacher Education and Training","070109","Teacher Education: Vocational Education"
"050306","Post-initial Special Teacher Education","070113","Teacher Education: Special Education"
"050399","Post-initial Teacher Education - Other","070199","Teacher Education, n.e.c."
"050401","Education Other Than Teacher Education - General","070000","Education, n.f.d."
"050402","Educational Administration","080313","Public and Health Care Administration"
"050403","Educational Counselling","090513","Counselling"
"050404","Education Media","079999","Education, n.e.c."
"050405","Tertiary Education","070111","Teacher Education: Higher Education"
"050406","Nurse and Health Educators Education","070117","Nursing Education Teacher Training"
"050499","Education Other Than Teacher Education - Other","070107","Teacher-Librarianship"
,,"070115","English as a Second Language Teaching"
,,"070301","Curriculum Studies"
,,"070303","Education Studies"
,,"079999","Education, n.e.c."
"06","ENGINEERING, SURVEYING",,
"060101","Engineering, Surveying - General","030000","Engineering and Related Technologies, n.f.d."
"060201","Engineering - General","030000","Engineering and Related Technologies, n.f.d."
"060202","Aeronautical Engineering","031501","Aerospace Engineering"
,,"031503","Aircraft Maintenance Engineering"
,,"031599","Aerospace Engineering and Technology, n.e.c."
"060203","Chemical Engineering","030301","Chemical Engineering"
"060204","Civil, Structural Engineering","030717","Plant and Machine Operations"
,,"030901","Construction Engineering"
,,"030903","Structural Engineering"
,,"030905","Building Services Engineering"
,,"030907","Water and Sanitary Engineering"
,,"030909","Transport Engineering"
,,"030911","Geotechnical Engineering"
,,"030913","Ocean Engineering"
,,"030999","Civil Engineering, n.e.c."
"060205","Electrical Engineering","030717","Plant and Machine Operations"
,,"031301","Electrical Engineering"
,,"031311","Powerline Installation and Maintenance"
,,"031313","Electrical Fitting, Electrical Mechanics"
"060206","Electronic Engineering, Computer Engineering","031303","Electronic Engineering"
,,"031305","Computer Engineering"
,,"031307","Communications Technologies"
,,"031309","Communications Equipment Installation and Maintenance"
,,"031317","Electronic Equipment Servicing"
"060207","Industrial Engineering","030101","Manufacturing Engineering"
,,"030703","Industrial Engineering"
"060208","Marine Engineering","031701","Maritime Engineering"
,,"031703","Marine Construction"
,,"031705","Marine Craft Operation"
,,"031799","Maritime Engineering and Technology, n.e.c."
"060209","Mechanical Engineering","030501","Automotive Engineering"
,,"030503","Vehicle Mechanics"
,,"030505","Automotive Electrics and Electronics"
,,"030507","Automotive Vehicle Refinishing"
,,"030509","Automotive Body Construction"
,,"030511","Panel Beating"
,,"030599","Automotive Engineering and Technology, n.e.c."
,,"030701","Mechanical Engineering"
,,"030799","Mechanical and Industrial Engineering and Technology, n.e.c."
,,"031315","Refrigeration and Air Conditioning Mechanics"
"060210","Metallurgy","030305","Materials Engineering"
"060211","Mining and Minerals Engineering","030303","Mining Engineering"
"060299","Engineering - Other","030103","Printing"
,,"030105","Textile Making"
,,"030107","Garment Making"
,,"030111","Wood Machining and Turning"
,,"030113","Cabinet Making"
,,"030115","Furniture Upholstery and Renovation"
,,"030117","Furniture Polishing"
,,"030199","Manufacturing Engineering and Technology, n.e.c."
,,"030399","Process and Resources Engineering, n.e.c."
,,"030513","Upholstery and Vehicle Trimming"
,,"030705","Toolmaking"
,,"030707","Metal Fitting, Turning and Machining"
,,"030709","Sheetmetal Working"
,,"030711","Boilermaking and Welding"
,,"030713","Metal Casting and Patternmaking"
,,"030715","Precision Metalworking"
,,"030717","Plant and Machine Operations"
,,"030799","Mechanical and Industrial Engineering and Technology, n.e.c."
,,"031399","Electrical and Electronic Engineering and Technology, n.e.c."
,,"039901","Environmental Engineering"
,,"039903","Biomedical Engineering"
,,"039905","Fire Technology"
,,"039999","Engineering and Related Technologies, n.e.c."
"060301","Surveying - General","031100","Geomatic Engineering, n.f.d."
"060302","Cartography","031103","Mapping Science"
"060303","Surveying","031101","Surveying"
"060399","Surveying - Other","031199","Geomatic Engineering, n.e.c."
"07","HEALTH",,
"070101","Health - General","0","No correspondence"
"070201","Dentistry","060701","Dentistry"
,,"060703","Dental Assisting"
,,"060705","Dental Technology"
,,"060799","Dental Studies, n.e.c."
"070202","Dental Therapy","060799","Dental Studies, n.e.c."
"070301","Health Support Activities - General","0","No correspondence"
"070302","Health Administration","080313","Public and Health Care Administration"
"070303","Health Counselling","061307","Health Promotion"
,,"061309","Community Health"
,,"090513","Counselling"
"070304","Health Surveying and Environmental Health","061303","Environmental Health"
,,"061311","Epidemiology"
,,"061399","Public Health, n.e.c."
,,"110111","Food Hygiene"
"070399","Health Support Activities - Other","061301","Occupational Health and Safety"
,,"061305","Indigenous Health"
,,"080313","Public and Health Care Administration"
"070401","Health Sciences and Technologies - General","0","No correspondence"
"070402","Nursing - Basic","060301","General Nursing"
,,"060303","Midwifery"
,,"060305","Mental Health Nursing"
,,"060307","Community Nursing"
,,"060311","Aged Care Nursing"
,,"060315","Mothercraft Nursing and Family and Child Health Nursing"
"070403","Nursing - Post-basic","060301","General Nursing"
,,"060303","Midwifery"
,,"060305","Mental Health Nursing"
,,"060307","Community Nursing"
,,"060309","Critical Care Nursing"
,,"060311","Aged Care Nursing"
,,"060313","Palliative Care Nursing"
,,"060315","Mothercraft Nursing and Family and Child Health Nursing"
,,"060399","Nursing, n.e.c."
"070404","Medical Radiography","061501","Radiography"
"070405","Medical Technology","019901","Medical Science"
,,"019909","Laboratory Technology"
"070406","Nutrition and Dietetics","069901","Nutrition and Dietetics"
"070407","Optometry","060901","Optometry"
,,"060903","Optical Technology"
,,"060999","Optical Science, n.e.c."
"070408","Pharmacy","060501","Pharmacy"
"070409","Podiatry","061713","Podiatry"
"070499","Health Sciences and Technologies - Other","069905","Paramedical Studies"
,,"069907","First Aid"
,,"069999","Health, n.e.c."
"070501","Medical Science","019901","Medical Science"
"070502","Medicine","060101","General Medicine"
,,"060103","Surgery"
,,"060105","Psychiatry"
,,"060107","Obstetrics and Gynaecology"
,,"060109","Paediatrics"
,,"060111","Anaesthesiology"
,,"060113","Pathology"
,,"060115","Radiology"
,,"060117","Internal Medicine"
,,"060119","General Practice"
,,"060199","Medical Studies, n.e.c."
,,"061901","Naturopathy"
,,"061903","Acupuncture"
,,"061905","Traditional Chinese Medicine"
,,"061999","Complementary Therapies, n.e.c."
"070601","Rehabilitation Services - General","061700","Rehabilitation Therapies, n.f.d."
"070602","Occupational Therapy","061703","Occupational Therapy"
"070603","Physiotherapy","061701","Physiotherapy"
"070604","Speech Pathology/Audiology","061707","Speech Pathology"
,,"061709","Audiology"
"070699","Rehabilitation Services - Other","061705","Chiropractic and Osteopathy"
,,"061711","Massage Therapy"
,,"061799","Rehabilitation Therapies, n.e.c."
"08","LAW, LEGAL STUDIES",,
"080101","Law, Legal Studies - General","090000","Society and Culture, n.f.d."
"080201","Law - General","090903","Constitutional Law"
,,"090905","Criminal Law"
,,"090907","Family Law"
"080202","Jurisprudence","091103","Legal Studies"
"080203","Legal Practice","090913","Legal Practice"
"080299","Law - Other","090901","Business and Commercial Law"
,,"090909","International Law"
,,"090911","Taxation Law"
,,"090999","Law, n.e.c."
"080301","Law Enforcement - General","091100","Justice and Law Enforcement, n.f.d."
"080302","Justice Administration","091101","Justice Administration"
"080303","Police Studies","091105","Police Studies"
"080399","Law Enforcement - Other","091199","Justice and Law Enforcement, n.e.c."
"080401","Legal Studies","091103","Legal Studies"
"09","SCIENCE",,
"090101","Science - General","010000","Natural and Physical Sciences, n.f.d."
"090201","Computer Science, Information Systems -General (not Business Data Processing)","020000","Information Technology, n.f.d."
"090202","Computer Science","020101","Formal Language Theory"
,,"020105","Computational Theory"
,,"020107","Compiler Construction"
,,"020109","Algorithms"
,,"020111","Data Structures"
,,"020113","Networks and Communications"
,,"020117","Operating Systems"
,,"020119","Artificial Intelligence"
,,"020301","Conceptual Modelling"
,,"029901","Security Science"
"090203","Information Systems","020103","Programming"
,,"020115","Computer Graphics"
,,"020303","Database Management"
,,"020305","Systems Analysis and Design"
"090203","Information Systems","020307","Decision Support Systems"
"090299","Computer Science, Information Systems -Other","020199","Computer Science, n.e.c."
,,"020399","Information Systems, n.e.c."
,,"029999","Information Technology, n.e.c."
"090301","Life, General Sciences - General","0","No correspondence"
"090302","Anatomy","010903","Botany"
,,"010913","Human Biology"
,,"010915","Zoology"
"090303","Biochemistry","010901","Biochemistry and Cell Biology"
"090304","Biology","010901","Biochemistry and Cell Biology"
,,"010905","Ecology and Evolution"
,,"010907","Marine Science"
,,"010909","Genetics"
,,"010913","Human Biology"
,,"010999","Biological Sciences, n.e.c."
"090305","Botany","010903","Botany"
"090306","Environmental Science","010905","Ecology and Evolution"
,,"050999","Environmental Studies, n.e.c."
"090307","Food Science and Technology","019905","Food Science and Biotechnology"
,,"030307","Food Processing Technology"
,,"110103","Food and Beverage Service"
,,"110105","Butchery"
,,"110107","Baking and Pastrymaking"
,,"110109","Cookery"
,,"110111","Food Hygiene"
,,"110199","Food and Hospitality, n.e.c."
"090308","Home Economics","099901","Family and Consumer Studies"
"090309","Human Movement Science/Sports Science","069903","Human Movement"
"090310","Laboratory Techniques (not Medical Technology)","019909","Laboratory Technology"
"090311","Microbiology","010911","Microbiology"
"090312","Pharmacology","019907","Pharmacology"
"090313","Physiology","010903","Botany"
,,"010913","Human Biology"
,,"010915","Zoology"
"090314","Zoology","010915","Zoology"
"090399","Life, General Sciences - Other","010713","Oceanography"
,,"010907","Marine Science"
,,"010999","Biological Sciences, n.e.c."
,,"019903","Forensic Science"
,,"019999","Natural and Physical Sciences, n.e.c."
"090401","Mathematics - General","010100","Mathematical Sciences, n.f.d."
"090402","Applied Mathematics","010101","Mathematics"
"090403","Pure Mathematics","010101","Mathematics"
"090404","Statistics and Operations Research","010103","Statistics"
,,"091903","Econometrics"
"090499","Mathematics - Other","010101","Mathematics"
,,"010199","Mathematical Sciences, n.e.c."
"090501","Physical Sciences - General","010000","Natural and Physical Sciences, n.f.d."
"090502","Chemistry","010501","Organic Chemistry"
,,"010503","Inorganic Chemistry"
,,"010599","Chemical Sciences, n.e.c."
"090503","Geology","010703","Geology"
,,"010705","Geophysics"
,,"010707","Geochemistry"
,,"010709","Soil Science"
,,"010711","Hydrology"
,,"010799","Earth Sciences, n.e.c."
"090504","Nautical Science","031705","Marine Craft Operation"
"090505","Physics","010301","Physics"
"090599","Physical Sciences - Other","010303","Astronomy"
,,"010701","Atmospheric Sciences"
,,"019999","Natural and Physical Sciences, n.e.c."
"10","VETERINARY SCIENCE",,
"100101","Veterinary Science","061101","Veterinary Science"
,,"061103","Veterinary Assisting"
,,"061199","Veterinary Studies, n.e.c."

"Source: Australian Bureau of Statistics, Appendix 7, FOSCHEC - ASCED Correspondence Table 2001"
