"FOSCTEC",,"ASCED Field of Education",
"060399","Surveying - Other","031199","Geomatic Engineering, n.e.c."
"07","HEALTH, COMMUNITY SERVICES",,
"070101","Health, Community Services - General","0","No correspondence"
"070201","Dental Services - General","060700","Dental Studies, n.f.d"
"070202","Dentistry and Dentistry Support","060701","Dentistry"
,,"060703","Dental Assisting"
"070203","Dental Therapy","060799","Dental Studies, n.e.c."
"070204","Dental Technology","060705","Dental Technology"
"070299","Dental Services - Other","060799","Dental Studies, n.e.c."
"070301","Health Support Activities - General","0","No correspondence"
"070302","Health and Health Care Administration","080313","Public and Health Care Administration"
"070303","Health Counselling","061307","Health Promotion"
,,"061309","Community Health"
,,"090513","Counselling"
"070304","Health Surveying/Inspection, Environmental Health","061303","Environmental Health"
,,"061311","Epidemiology"
,,"061399","Public Health, n.e.c."
,,"110111","Food Hygiene"
"070305","Occupational Health and Safety","061301","Occupational Health and Safety"
"070399","Health Support Activities - Other","061305","Indigenous Health"
,,"061399","Public Health, n.e.c."
,,"080313","Public and Health Care Administration"
"070401","Health Sciences and Technologies - General","0","No correspondence"
"070402","Nursing and Nursing Support - Basic","060301","General Nursing"
,,"060303","Midwifery"
,,"060305","Mental Health Nursing"
,,"060307","Community Nursing"
,,"060311","Aged Care Nursing"
,,"060315","Mothercraft Nursing and Family and Child Health Nursing"
"070403","Nursing and Nursing Support - Post-basic","060301","General nursing"
,,"060303","Midwifery"
,,"060305","Mental Health Nursing"
,,"060307","Community Nursing"
,,"060309","Critical Care Nursing"
,,"060311","Aged Care Nursing"
,,"060313","Palliative Care Nursing"
,,"060315","Mothercraft Nursing and Family and Child Health Nursing"
,,"060399","Nursing, n.e.c."
"070404","Medical Imaging","061501","Radiography"
"070405","Medical Technology","019909","Laboratory Technology"
"070406","Nutrition and Dietetics","069901","Nutrition and Dietetics"
"070407","Optometry, Optical Technology","060901","Optometry"
,,"060903","Optical Technology"
,,"060999","Optical Science, n.e.c."
"070408","Pharmacy","060501","Pharmacy"
"070409","Podiatry","061713","Podiatry"
"070499","Health Sciences and Technologies - Other","061901","Naturopathy"
,,"061903","Acupuncture"
,,"061905","Traditional Chinese Medicine"
,,"061999","Complementary Therapies, n.e.c."
,,"069905","Paramedical Studies"
,,"069907","First Aid"
,,"069999","Health, n.e.c."
"070501","Medical Science, Medicine - General","0","No correspondence"
"070502","Medical Science","019901","Medical Science"
"070503","Medicine, Medical Aid","060101","General Medicine"
,,"060103","Surgery"
,,"060105","Psychiatry"
,,"060107","Obstetrics and Gynaecology"
,,"060109","Paediatrics"
,,"060111","Anaesthesiology"
,,"060113","Pathology"
,,"060115","Radiology"
,,"060117","Internal Medicine"
,,"060119","General Practice"
,,"060199","Medical Studies, n.e.c."
"070599","Medical Science, Medicine - Other","019901","Medical Science"
,,"060199","Medical Studies, n.e.c."
"070601","Rehabilitation Services - General","061700","Rehabilitation Therapies, n.f.d."
"070602","Occupational Therapy","061703","Occupational Therapy"
"070603","Physiotherapy","061701","Physiotherapy"
,,"061705","Chiropractic and Osteopathy"
"070604","Speech Pathology, Audiology","061707","Speech Pathology"
,,"061709","Audiology"
"070699","Rehabilitation Services - Other","061711","Massage Therapy"
,,"061799","Rehabilitation Therapies, n.e.c."
"070701","Community, Family, Personal Health Care - General","0","No correspondence"
"070702","Child Care, Residential Client Care, Care for Disabled","090503","Children’s Services"
,,"090505","Youth Work"
,,"090507","Care for the Aged"
,,"090509","Care for the Disabled"
,,"090511","Residential Client Care"
"070704","Family Care, Community Services","090501","Social Work"
,,"090507","Care for the Aged"
,,"090513","Counselling"
,,"090515","Welfare Studies"
,,"090599","Human Welfare Studies and Services, n.e.c."
"070705","Personal Health/Social/Recreational Education","092101","Sport and Recreation Activities"
"070799","Community, Family, Personal Health Care - Other","061307","Health Promotion"
,,"061309","Community Health"
"08","LAW, LEGAL STUDIES",,
"080101","Law, Legal Studies - General","090000","Society and Culture, n.f.d."
"080201","Law - General","090903","Constitutional Law"
,,"090905","Criminal Law"
,,"090907","Family Law"
"080202","Jurisprudence","091103","Legal Studies"
"080203","Legal Practice","090913","Legal Practice"
"080299","Law - Other","090901","Business and Commercial Law"
,,"090909","International Law"
,,"090911","Taxation Law"
,,"090999","Law, n.e.c."
"080301","Justice Administration, Law Enforcement - General","091100","Justice and Law Enforcement, n.f.d."
"080302","Justice Administration","091101","Justice Administration"
"080303","Law Enforcement","091105","Police Studies"
"80399","Justice Administration, Law Enforcement - Other","091199","Justice and Law Enforcement, n.e.c."
"080401","Legal Studies - General","091103","Legal Studies"
"09","SCIENCE",,
"090101","Science - General","010000","Natural and Physical Sciences, n.f.d."
"090201","Computer Science, Information Systems - General","020000","Information Technology, n.f.d."
"090202","Computer Science","020101","Formal Language Theory"
,,"020105","Computational Theory"
,,"020107","Compiler Construction"
,,"020109","Algorithms"
,,"020111","Data Structures"
,,"020113","Networks and Communications"
,,"020117","Operating Systems"
,,"020119","Artificial Intelligence"
,,"020301","Conceptual Modelling"
,,"029901","Security Science"
"090203","Computer-based Information Science","020103","Programming"
,,"020115","Computer Graphics"
,,"020303","Database Management"
,,"020305","Systems Analysis and Design"
,,"020307","Decision Support Systems"
"090299","Computer Science, Information Systems - Other","020199","Computer Science, n.e.c."
,,"020399","Information Systems, n.e.c."
,,"029999","Information Technology, n.e.c."
"090301","Life, General Sciences - General","010000","Natural and Physical Sciences, n.f.d."
"090302","Anatomy","010903","Botany"
,,"010913","Human Biology"
,,"010915","Zoology"
"090303","Biochemistry","010901","Biochemistry and Cell Biology"
"090304","Biology","010901","Biochemistry and Cell Biology"
,,"010905","Ecology and Evolution"
,,"010909","Genetics"
,,"010913","Human Biology"
"090305","Botany","010903","Botany"
,,"010909","Genetics"
"090306","Environmental Science","010905","Ecology and Evolution"
,,"039901","Environmental Engineering"
,,"050999","Environmental Studies, n.e.c."
"090307","Food Science","019905","Food Science and Biotechnology"
"090309","Human Movement, Sports Science","069903","Human Movement"
"090310","Laboratory Techniques","019909","Laboratory Technology"
"090311","Microbiology, Bacteriology, Virology","010911","Microbiology"
"090312","Pharmacology","019907","Pharmacology"
"090313","Physiology","010913","Human Biology"
,,"010915","Zoology"
"090314","Zoology","010909","Genetics"
,,"010915","Zoology"
"090315","Marine Science","010713","Oceanography"
,,"010907","Marine Science"
"090399","Life, General Sciences - Other","010999","Biological Sciences, n.e.c."
,,"019903","Forensic Science"
,,"019999","Natural and Physical Sciences, n.e.c."
"090401","Mathematics - General","010100","Mathematical Sciences, n.f.d."
"090402","Applied Mathematics","010101","Mathematics"
"090403","Pure Mathematics","010101","Mathematics"
"090404","Statistics, Operations Research","010103","Statistics"
"090499","Mathematics - Other","010199","Mathematical Sciences, n.e.c."
"090501","Physical Sciences - General","010000","Natural and Physical Sciences, n.f.d."
"090502","Chemistry","010501","Organic Chemistry"
,,"010503","Inorganic Chemistry"
,,"010599","Chemical Sciences, n.e.c."
"090503","Geology, Earth Sciences","010703","Geology"
,,"010705","Geophysics"
,,"010707","Geochemistry"
,,"010711","Hydrology"
"090504","Nautical Science","031705","Marine Craft Operation"
"090505","Physics","010301","Physics"
"090599","Physical Sciences - Other","010303","Astronomy"
,,"010701","Atmospheric Sciences"
,,"019999","Natural and Physical Sciences, n.e.c."
"10","VETERINARY SCIENCE, ANIMAL CARE",,
"100101","Veterinary Science, Animal Care - General","061101","Veterinary Science"
,,"061103","Veterinary Assisting"
,,"061199","Veterinary Studies, n.e.c."
"11","SERVICES, HOSPITALITY, TRANSPORTATION",,
"110101","Services, Hospitality, Transportation - General","0","No correspondence"
"110201","Food/Beverage, Hospitality, Tourism - General","0","No correspondence"
"110202","Bakery","110107","Baking and Pastrymaking"
"110203","Butchery","110105","Butchery"
"110204","General Cookery","110109","Cookery"
"110205","Hotel, Hospitality, Tourism","039909","Cleaning"
,,"080319","Hospitality Management"
,,"080323","Tourism Management"
,,"080701","Tourism"
,,"110101","Hospitality"
,,"110103","Food and Beverage Service"
"110299","Food/Beverage, Hospitality, Tourism - Other","080701","Tourism"
,,"110199","Food and Hospitality, n.e.c."
"110301","Transportation - General","0","No correspondence"
"110302","Transportation/materials Handling Operators","030515","Automotive Vehicle Operations"
,,"031505","Aircraft Operation"
,,"031705","Marine Craft Operation"
,,"039907","Rail Operations"
,,"089901","Purchasing, Warehousing and Distribution"
"110303","Transportation/materials Storage Services","031507","Air Traffic Control"
,,"089901","Purchasing, Warehousing and Distribution"
"110399","Transportation - Other","0","No correspondence"
"110401","Apparel Sales, Services - General","0","No correspondence"
"110402","Clothing, Clothing Materials","030107","Garment Making"
,,"080501","Sales"
"110403","Footwear, Leatherwork","030109","Footwear Making"
,,"080501","Sales"
"110499","Apparel Sales, Services - Other","030107","Garment Making"
,,"030109","Footwear Making"
,,"080501","Sales"
,,"080599","Sales and Marketing, n.e.c."
"110501","Other Services - General","0","No correspondence"
"110502","Hairdressing, Cosmetology","110301","Beauty Therapy"
,,"110303","Hairdressing"
"110503","Home Furnishings","080501","Sales"
,,"080599","Sales and Marketing, n.e.c."
"110599","Other Services - Other","110399","Personal Services, n.e.c."
"12","TAFE MULTI-FIELD EDUCATION",,
"120101","TAFE Multi-field Education - General","0","No correspondence"
"120201","Multi-broad-field TAFE Vocational Education - General","0","No correspondence"
"120202","Pre-vocational/Pre-employment Spanning Broad Fields","120501","Career Development Programmes"
,,"120503","Job Search Skills Programmes"
,,"120505","Work Practices Programmes"
,,"120599","Employment Skills Programmes, n.e.c."
"120299","Multi-broad-field TAFE Vocational Education -","120599","Employment Skills Programmes, n.e.c."
,"Other",,
"120301","TAFE Multi-field Basic Education - General","120199","General Education Programmes, n.e.c."
"120302","English as a Second Language","091501","English Language"
"120303","Functional Literacy, Numeracy","120103","Literacy and Numeracy Programmes"
"120304","General Secondary Education, Qualifying","120101","General Primary and Secondary Education Programmes"
,"Education",,
"120305","General Skills Development","120301","Social and Interpersonal Skills Programmes"
,,"120305","Parental Education Programmes"
"120306","School-Tertiary Education Link Courses","120105","Learning Skills Programmes"
"120399","TAFE Multi-field Basic Education - Other","120399","Social Skills Programmes, n.e.c."

"Source: Australian Bureau of Statistics, Appendix 9, FOSCTEC - ASCED Correspondence Table 2001"
