"ASCED Field of Education",,"Discipline Group - VET",
"030117","Furniture Polishing","1003315","Furniture Design & Construction"
"030199","Manufacturing Engineering and Technology, n.e.c.","0799120","Leather Goods"
,,"1003615","Making & Installing Blinds, Drapes, Curtains & Awnings"
"030301","Chemical Engineering","0701101","Chemical & Allied Engineering - General"
,,"0701115","Chemical Plant Design & Operation"
,,"0701120","Chemical Processing & Chemical Refining Of Materials"
,,"0704235","Automotive Fuel"
"030303","Mining Engineering","0705101","Mining/Minerals Engineering - General"
,,"0705115","Underground Environmental Control"
,,"0705120","Petroleum Mining Engineering"
,,"0705125","Mine Plant Design"
"030305","Materials Engineering","0403201","Materials Science - General"
,,"0403210","Engineering Materials"
,,"0403225","Materials Testing"
,,"0403230","Metallurgy"
,,"0701110","Plastics Engineering"
,,"0701125","Fibreglass"
,,"0705110","Mineral Processing & Analysis"
,,"0705130","Mineral Resources"
,,"0705201","Metallurgical Engineering - General"
,,"1103110","Forest Products Utilisation"
,,"1103115","Forest Products Processing Technology"
,,"1103145","Timber Science & Technology"
,,"1103150","Timber Merchandising & Operations"
"030307","Food Processing Technology","0499240","Food Processing Systems"
,,"0499301","Food Technology - General"
,,"0499305","Dairy Technology"
,,"0499310","Meat Technology"
,,"0499315","Poultry Technology"
,,"0499320","Marine Product Technology"
,,"1101135","Retail & Wholesale Operations - Agricultural"
,,"1101425","Winery Cellar Operation"
,,"1102405","Fish & Seafood Processing"
,,"1201310","Meat Inspection"
,,"1201320","Smallgoods Manufacturing"
"030399","Process and Resources Engineering, n.e.c.","0706110","Production & Manufacturing Processes/Techniques"
"030501","Automotive Engineering","0704201","Automotive Engineering - General"
,,"0704210","Automotive Production"
"030503","Vehicle Mechanics","0704215","Automotive Mechanics"
,,"0704225","Motor Vehicle & Motor Repair/Maintenance"
,,"0704230","Automotive Fitting & Turning"
,,"0704265","Automatic Transmission"
,,"0704270","Automotive Brake Systems"
,,"0799320","Marine Engines"
"030505","Automotive Electrics and Electronics","0704220","Automotive Electrics"
,,"0799325","Marine Electrical & Electronic Equipment"
"030507","Automotive Vehicle Refinishing","0704255","Spray Painting"
,,"0704260","Automotive Detailing"
"030509","Automotive Body Construction","0704240","Automotive Body Construction"
"030511","Panel Beating","0704245","Panel Beating"
"030513","Upholstery and Vehicle Trimming","0704250","Upholstery & Motor Trimming"
"030515","Automotive Vehicle Operations","1302905","Driving Instruction"
"030599","Automotive Engineering and Technology, n.e.c.","0704201","Automotive Engineering - General"
"030701","Mechanical Engineering","0704101","Mechanical Engineering - General"
,,"0704110","Engine & Propulsion Mechanisms"
,,"0789125","Hydraulics"
,,"0799201","Printing Engineering - General"
"030703","Industrial Engineering","0706101","Industrial Engineering - General"
,,"0706115","Industrial Organisation"
,,"1002301","Industrial Design - General"
"030705","Toolmaking","0704120","Mechanical Fitting & Turning"
"030707","Metal Fitting, Turning and Machining","0704120","Mechanical Fitting & Turning"
,,"1101130","Farm Mechanics & Technology"
"030709","Sheetmetal Working","0704125","Metal Fabrication, Casting & Finishing"
"030711","Boilermaking and Welding","0704135","Welding"
"030713","Metal Casting and Patternmaking","0704125","Metal Fabrication, Casting & Finishing"
"030715","Precision Metalworking","0704130","Saw Doctoring"
,,"0704145","Watchmaking"
,,"0704150","Gunsmithing"
,,"0704155","Locksmithing"
,,"0789110","Maintenance Of Plant & Equipment"
"030717","Plant and Machine Operations","0403220","Materials Handling"
,,"0789110","Maintenance Of Plant & Equipment"
,,"0789120","Operation Of Plant & Equipment - Engineering"
,,"1003130","Crane Chasing"
,,"1101130","Farm Mechanics & Technology"
,,"1103150","Timber Merchandising & Operations"
"030799","Mechanical and Industrial Engineering and","0704140","Blacksmithing"
,"Technology, n.e.c.","1003315","Furniture Design & Construction"
"030901","Construction Engineering","0702120","Highway Engineering"
,,"0702125","Concrete And Reinforced Concrete Construction"
"030903","Structural Engineering","0403215","Strength Of Materials - Stress Analysis"
,,"0702110","Structural Engineering"
"030905","Building Services Engineering","0702105","Civil Engineering"
"030907","Water and Sanitary Engineering","0702130","Water Supply & Sewage Construction"
,,"1002420","Draining & Irrigation Systems"
"030909","Transport Engineering","0903601","Transport - General"
,,"0903605","Transport Systems"
"030911","Geotechnical Engineering","0702105","Civil Engineering"
"030913","Ocean Engineering","0702105","Civil Engineering"
"030999","Civil Engineering, n.e.c.","0702105","Civil Engineering"
"031101","Surveying","1004105","Surveying"
,,"1004110","Survey Drafting"
,,"1004115","Survey Engineering"
,,"1101230","Soil & Water Survey Methods"
"031103","Mapping Science","1004201","Cartography - General"
,,"1004210","Mapping - Cartography"
"031199","Geomatic Engineering, n.e.c.","1004120","Photogrammetry"
"031301","Electrical Engineering","0703101","Electrical Engineering - General"
,,"0703115","Electrical Instrumentation & Measurement"
,,"0703125","Electrical Energy Conversions"
"031303","Electronic Engineering","0703201","Electronic Engineering - General"
,,"0703245","Electronic Energy Conversions"
"031305","Computer Engineering","0503110","Computer Architecture & Design"
,,"0703401","Computer Engineering - General"
,,"0703410","Computer Installation & Maintenance"
,,"0703415","Computer Instrumentation & Measurement"
,,"0703420","Computer Circuits & Systems"
"031307","Communications Technologies","0703501","Communications Engineering - General"
,,"0703520","Communications Circuits & Systems"
"031309","Communications Equipment Installation and Maintenance","0703501","Communications Engineering - General"
,,"0703510","Communications Installation & Maintenance"
,,"0703515","Communications Instrumentation & Measurement"
"031311","Powerline Installation and Maintenance","0703101","Electrical Engineering - General"
,,"0703130","Electrical Power Distribution & Transmission"
"031313","Electrical Fitting, Electrical Mechanics","0703110","Electrical Installation & Maintenance"
,,"0703120","Electrical Circuits & Systems"
,,"0703135","Electrical Motor Armature & Coil Winding"
,,"0799325","Marine Electrical & Electronic Equipment"
"031315","Refrigeration and Air Conditioning Mechanics","0703610","Air-Conditioning System Installation & Maintenance"
,,"0703615","Heating - Environmental"
,,"0703620","Refrigeration System Installation & Maintenance"
"031317","Electronic Equipment Servicing","0703230","Electronic Installation & Maintenance"
,,"0703235","Electronic Instrumentation & Measurement"
,,"0703240","Electronic Circuits & Systems"
"031399","Electrical and Electronic Engineering and Technology, n.e.c.","0703115","Electrical Instrumentation & Measurement"
,,"0703201","Electronic Engineering - General"
"031501","Aerospace Engineering","0704301","Aeronautical Engineering - General"
,,"0704315","Aerodynamics - Aeronautical"
,,"0704320","Propulsion Technology"
,,"0704325","Construction & Maintenance Of Aircraft & Space Vehicles"
"031503","Aircraft Maintenance Engineering","0704301","Aeronautical Engineering - General"
,,"0704325","Construction & Maintenance Of Aircraft & Space Vehicles"
"031505","Aircraft Operation","0704310","Aircraft Operations"
"031507","Air Traffic Control","0704330","Air Traffic Control"
"031599","Aerospace Engineering and Technology, n.e.c.","0704301","Aeronautical Engineering - General"
"031701","Maritime Engineering","0799310","Marine Design, Construction & Maintenance"
,,"0799320","Marine Engines"
"031703","Marine Construction","0799310","Marine Design, Construction & Maintenance"
,,"0799320","Marine Engines"
"031705","Marine Craft Operation","0799315","Marine Operations"
"031799","Maritime Engineering and Technology, n.e.c.","0799315","Marine Operations"
"039901","Environmental Engineering","0703601","Environmental Engineering - General"
,,"1105110","Waste Management"
"039903","Biomedical Engineering","0799999","Other Engineering, Processing"
"039905","Fire Technology","0799999","Other Engineering, Processing"
,,"1203505","Emergency Services (Non Medical)"
"039907","Rail Operations","0799999","Other Engineering, Processing"
"039909","Cleaning","0799105","Textile Engineering"
,,"0799999","Other Engineering, Processing"
"039999","Engineering and Related Technologies, n.e.c.","0799999","Other Engineering, Processing"
,,"1101130","Farm Mechanics & Technology"
"04","ARCHITECTURE AND BUILDING",,
"040101","Architecture","1001101","Architecture - General"
,,"1001110","Architectural Drawing/Drafting/Design"
"040103","Urban Design and Regional Planning","1002405","Urban Planning"
,,"1002410","Regional Planning"
"040105","Landscape Architecture","1002201","Landscape Architecture - General"
,,"1101330","Landscape Gardening"
"040107","Interior and Environmental Design","1002101","Environmental Design - General"
,,"1002501","Interior Design/Decoration - General"
,,"1002510","Furniture & Fittings Design"
"040199","Architecture and Urban Environment, n.e.c.","1099999","Other Built Environment"
"040301","Building Science and Technology","0702110","Structural Engineering"
,,"1003105","Building Construction"
,,"1003110","Building Technology"
"040303","Building Construction Management","1003105","Building Construction"
,,"1003125","Building Construction Services & Systems"
"040305","Building Surveying","1003115","Building & Building Industry Controls & Regulations"
"040307","Building Construction Economics","1004301","Quantity Surveying - General"
"040309","Bricklaying and Stonemasonry","1003205","Bricklaying"
,,"1003210","Stonemasonry"
,,"1003225","Mortar & Other Adhesives"
"040311","Carpentry and Joinery","1003310","Wood Work"
,,"1003401","Carpentry & Joinery - General"
,,"1003405","Carpentry"
,,"1003410","Joinery"
"040313","Ceiling, Wall and Floor Fixing","1003215","Tile Fixing"
,,"1003225","Mortar & Other Adhesives"
,,"1003505","Ceiling, Wall, Floor & Roof Fixing"
,,"1003510","Ceiling, Wall, Floor & Roof Cladding Materials"
"040315","Roof Fixing","1003215","Tile Fixing"
,,"1003505","Ceiling, Wall, Floor & Roof Fixing"
,,"1003510","Ceiling, Wall, Floor & Roof Cladding Materials"
"040317","Plastering","1003515","Plastering"
"040319","Furnishing Installation","1003605","Furnishings"
,,"1003615","Making & Installing Blinds, Drapes, Curtains & Awnings"
"040321","Floor Coverings","1003610","Floor Coverings"
"040323","Glazing","1003701","Glazing - General"
"040325","Painting, Decorating and Sign Writing","1003805","Painting (Built Construction)"
,,"1003810","Decorating"
,,"1003815","Signwriting"
,,"1003820","Paints & Other Finishes"
"040327","Plumbing","1003905","Plumbing"
,,"1003910","Gas-Fitting"
,,"1003915","Draining - Building"
"040329","Scaffolding and Rigging","1003125","Building Construction Services & Systems"
"040399","Building, n.e.c.","1003220","Concreting"
,,"1003225","Mortar & Other Adhesives"
,,"1099999","Other Built Environment"
"05","AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",,
"050101","Agricultural Science","1101110","Sheep Management"
,,"1101520","Soil Preparation & Fertilisation"
,,"1101525","Seed Technology"
,,"1101535","Harvesting & Storage"
,,"1101550","Cotton Production"
,,"1101555","Sugar-Cane Production"
,,"1101560","Cereal & Grain Crop Production"
,,"1101565","Legume Crop Production"
,,"1101610","Farming Systems"
,,"1101615","Rural/Farm Science"
,,"1101625","Animal, Plant & Crop Management"
"050101","Agricultural Science","1102205","Animal Farming"
,,"1102225","Dairy Farming / Dairies"
"050103","Wool Science","1101110","Sheep Management"
,,"1101115","Wool Science"
"050105","Animal Husbandry","1102101","Animal Husbandry - General"
,,"1102110","Animal House Management"
,,"1102115","Animal Training"
,,"1102120","Equine Studies"
,,"1102125","Domestic Animal Care & Nursing"
,,"1102210","Animal Breeding"
,,"1102215","Animal Science & Technology"
,,"1102220","Animal Nutrition"
,,"1102235","Bee Keeping"
,,"1102305","Animal Inspection"
,,"1102310","Animal Health Care"
,,"1102315","Animal Diseases And Pests"
"050199","Agriculture, n.e.c.","1101130","Farm Mechanics & Technology"
"050301","Horticulture","1101301","Amenities Horticulture - General"
,,"1101310","Arboriculture (Non Food Production)"
,,"1101315","Floriculture"
,,"1101320","Gardening (Amenities)"
,,"1101335","Green-Keeping/Turf Management"
,,"1101340","Nursery/Greenhouse Operation & Management"
,,"1101501","Agronomy/Production Horticulture - General"
,,"1101510","Plant & Crop Propagation"
,,"1101540","Vegetable Production"
,,"1101545","Fruit & Nut Production"
"050303","Viticulture","1101405","Viticulture"
,,"1101415","Vine Management"
,,"1101420","Wine Production & Evaluation"
"050501","Forestry Studies","1103101","Forestry - General"
,,"1103105","Forestry Production"
,,"1103120","Forest Hydrology"
,,"1103125","Forest Engineering/Technologies"
,,"1103130","Forest Resource Management"
,,"1103135","Forest Re-vegetation"
,,"1103140","Forestry Science"
,,"1103155","Logging"
,,"1103301","Conservation - General"
,,"1105101","Renewable Resources - General"
"050701","Aquaculture","1102410","Fish & Seafood Farming"
,,"1102415","Fisheries Science"
,,"1105101","Renewable Resources - General"
"050799","Fisheries Studies, n.e.c.","1102415","Fisheries Science"
"050901","Land, Parks and Wildlife Management","1101201","Soil & Water Management - General"
,,"1101210","Soil Management"
,,"1103201","Park & Wildlife Management - General"
,,"1103210","Flora & Fauna Management"
,,"1103215","Park Design & Development"
,,"1103301","Conservation - General"
"050999","Environmental Studies, n.e.c.","0402401","Environmental Science - General"
,,"1103301","Conservation - General"
,,"1103310","Water Conservation"
,,"1103315","Soil/Land Conservation"
,,"1105101","Renewable Resources - General"
"059901","Pest and Weed Control","1101530","Pest & Weed Control"
"059999","Agriculture, Environmental and Related Studies, n.e.c.","1002420","Draining & Irrigation Systems"
,,"1101215","Water Management"
,,"1199999","Other Agriculture, Renewable Resources"
"06","HEALTH",,
"060101","General Medicine","0806101","Medicine - General"
,,"0806115","Diagnosis"
,,"0806125","Disease - Human"
"060103","Surgery","0806110","Surgery"
"060105","Psychiatry","0806235","Psychiatry"
"060107","Obstetrics and Gynaecology","0806210","Obstetrics"
,,"0806215","Gynaecology"
"060109","Paediatrics","0806240","Paediatrics"
"060111","Anaesthesiology","0806120","Anaesthetics"
"060113","Pathology","0806220","Pathology - Medical"
"060115","Radiology","0801110","Radiology"
"060117","Internal Medicine","0806115","Diagnosis"
"060119","General Practice","0806115","Diagnosis"
"060199","Medical Studies, n.e.c.","0806225","Dermatology"
,,"0806245","Neuro-Anatomy"
"060301","General Nursing","0803101","Nursing - General"
,,"0803110","Nursing Support"
"060303","Midwifery","0803115","Midwifery"
"060305","Mental Health Nursing","0803101","Nursing - General"
"060307","Community Nursing","0803101","Nursing - General"
"060309","Critical Care Nursing","0803101","Nursing - General"
"060311","Aged Care Nursing","0803101","Nursing - General"
"060313","Palliative Care Nursing","0803101","Nursing - General"
"060315","Mothercraft Nursing and Family and Child Health Nursing","0803101","Nursing - General"
"060399","Nursing, n.e.c.","0803101","Nursing - General"
"060501","Pharmacy","0806301","Pharmacy - General"
"060701","Dentistry","0807101","Dentistry - General"
,,"0807115","Endodontics"
,,"0807120","Orthodontics"
,,"0807125","Periodontology"
,,"0807135","Dental Ethics"
,,"0807201","Dental Therapy - General"
,,"0807210","Clinical Dentistry"
,,"0807215","Preventative Dentistry"
,,"0807220","Oral Therapeutics"
,,"0807320","Dental Surgical Procedures"
"060703","Dental Assisting","0807110","Dentistry Assisting/Support"
,,"0807210","Clinical Dentistry"
"060705","Dental Technology","0807301","Dental Technology - General"
,,"0807310","Denture Construction & Repair"
,,"0807315","Dental Metallurgy"
"060799","Dental Studies, n.e.c.","0807101","Dentistry - General"
,,"0807145","Dental Hygienics"
"060901","Optometry","0808105","Optometry"
"060903","Optical Technology","0808110","Optical Technology"
"060999","Optical Science, n.e.c.","0808105","Optometry"
"061101","Veterinary Science","1104101","Veterinary Science - General"
"061103","Veterinary Assisting","1102125","Domestic Animal Care & Nursing"
,,"1104110","Veterinary Nursing"
"061199","Veterinary Studies, n.e.c.","1104101","Veterinary Science - General"
"061301","Occupational Health and Safety","0805201","Occupational Health & Safety - General"
,,"0805210","Occupational Health Management"
,,"0805215","Fire Safety Management"
,,"0805220","Ergonomics"
"061303","Environmental Health","0805101","Environmental Health - General"
,,"0805105","Health Surveying/Inspection"
,,"0805115","Environmental Analysis & Control"
"061305","Indigenous Health","0899999","Other Health Sciences"
"061307","Health Promotion","0809515","Health & Health Information Services"
,,"0809520","Health Education"
"061309","Community Health","0899999","Other Health Sciences"
"061311","Epidemiology","0805120","Epidemiology"
"061399","Public Health, n.e.c.","0809420","Family Planning"
"061501","Radiography","0801101","Medical Imaging - General"
,,"0801210","Nuclear Medicine"
"061701","Physiotherapy","0802201","Physiotherapy - General"
,,"0802210","Electrotherapy"
"061703","Occupational Therapy","0802101","Occupational Therapy - General"
"061705","Chiropractic and Osteopathy","0802401","Chiropractic Therapy - General"
"061707","Speech Pathology","0802305","Speech Pathology"
,,"0802310","Speech Therapy"
"061709","Audiology","0802315","Audiology"
"061711","Massage Therapy","1203201","Relaxation Techniques - General"
"061713","Podiatry","0806401","Podiatry - General"
"061799","Rehabilitation Therapies, n.e.c.","0802510","Prosthetics"
,,"0802601","Therapeutic Technology - General"
"061901","Naturopathy","0899101","Natural Therapies - General"
"061903","Acupuncture","0899101","Natural Therapies - General"
"061905","Traditional Chinese Medicine","0899101","Natural Therapies - General"
"061999","Complementary Therapies, n.e.c.","0899101","Natural Therapies - General"
,,"1203201","Relaxation Techniques - General"
"069901","Nutrition and Dietetics","0804105","Nutrition"
,,"0804110","Dietetics"
"069903","Human Movement","1203355","Sports Science"
"069905","Paramedical Studies","0806510","Ambulance Studies"
"069907","First Aid","0806501","First Aid - General"
"069999","Health, n.e.c.","0801215","Diagnostic Technology"
,,"0899999","Other Health Sciences"
"07","EDUCATION",,
"070101","Teacher Education: Early Childhood","0","No correspondence"
"070103","Teacher Education: Primary","0","No correspondence"
"070105","Teacher Education: Secondary","0","No correspondence"
"070107","Teacher-Librarianship","0","No correspondence"
"070109","Teacher Education: Vocational Education and Training","0","No correspondence"
"070111","Teacher Education: Higher Education","0","No correspondence"
"070113","Teacher Education: Special Education","0","No correspondence"
"070115","English as a Second Language Teaching","0","No correspondence"
"070117","Nursing Education Teacher Training","0","No correspondence"
"070199","Teacher Education, n.e.c.","0303101","Train The Trainer - General"
,,"0601115","Art Education"
,,"1203350","Physical Education"
"070301","Curriculum Studies","0301101","Education Studies - General"
,,"0301115","Curriculum Studies"
"070303","Education Studies","0301101","Education Studies - General"
,,"0301110","History & Philosophy Of Education"
"079999","Education, n.e.c.","0301120","Educational Technology"
,,"0399999","Other Education"
"08","MANAGEMENT AND COMMERCE",,
"080101","Accounting","0902101","Accounting - General"
,,"0902110","Financial Accounting"
,,"0902115","Management Accounting"
,,"0902120","Audit & Internal Control"
,,"0902125","Bookkeeping"
,,"0902130","Taxation"
"080301","Business Management","0601315","Film Industry Studies"
,,"0602210","Fashion Industry"
,,"0807140","Dental Practice Management"
,,"0904501","Small Business Management & Operations - General"
,,"0904510","Business Management & Planning"
,,"0904515","Business Operations"
,,"1201210","Bakery Organisation"
"080303","Human Resource Management","0904115","Supervision"
,,"0904120","Management Theory"
,,"0904125","Leadership"
,,"0904301","Personnel Management & Development - General"
,,"0904310","Recruitment & Personnel Selection"
,,"0904315","Staff Development & Training"
,,"0904320","Personnel Administration"
"080305","Personal Management Training","1301110","Self Development/Awareness"
,,"1301115","Stress Management"
"080307","Organisation Management","0904120","Management Theory"
"080309","Industrial Relations","0904201","Industrial Relations - General"
"080311","International Business","0903515","Importing/Exporting"
,,"0903535","International Trade"
,,"0906501","Law Enforcement - General"
"080313","Public and Health Care Administration","0204315","Social Agency Administration"
,,"0301125","Educational Administration"
,,"0809510","Health Care Administration"
,,"0904401","Public Administration - General"
"080315","Project Management","0904105","General Management"
"080317","Quality Management","0706120","Quality Assurance & Control"
"080319","Hospitality Management","1201110","Hospitality Management"
"080321","Farm Management and Agribusiness","1101605","Rural/Farm Operations"
,,"1101620","Rural/Farm Resource Planning"
"080323","Tourism Management","1202115","Tourism Management"
"080399","Business and Management, n.e.c.","0904105","General Management"
,,"1203505","Emergency Services (Non Medical)"
"080501","Sales","0903525","Sales Management"
,,"0903530","Retail Sales"
,,"0903540","Purchasing"
,,"0903550","Merchandising - Sales"
,,"1101125","Rural Merchandising"
,,"1101135","Retail & Wholesale Operations - Agricultural"
,,"1103150","Timber Merchandising & Operations"
"080503","Real Estate","0903205","Real Estate"
,,"0903210","Land Broking"
,,"0903220","Property Management"
"080505","Marketing","0903505","Marketing"
,,"0903520","Product & Services Design & Development"
"080507","Advertising","0903405","Advertising"
"080509","Public Relations","0903410","Public Relations"
,,"0903420","Client Servicing"
"080599","Sales and Marketing, n.e.c.","0601415","Visual/Window Display"
,,"1101135","Retail & Wholesale Operations - Agricultural"
"080701","Tourism","1202105","Travel"
,,"1202110","Tourism"
"080901","Secretarial and Clerical Studies","0905105","Secretarial Studies"
,,"0905115","Clerical Studies"
,,"0905125","Shorthand"
,,"0905130","Office Management"
"080903","Keyboard Skills","0502110","Information Collection & Analysis"
,,"0905120","Typing"
"080905","Practical Computing Skills","0502301","Computing - General"
,,"0502315","Computer Software Packages"
,,"0502320","Computer Software Applications"
,,"0502325","Computer Aided Design/Drafting"
,,"0502330","Computer Multi-Media"
,,"0905110","Word Processing"
"080999","Office Studies, n.e.c.","0905130","Office Management"
"081101","Banking and Finance","0903105","Banking"
,,"0903110","Finance"
"081103","Insurance and Actuarial Studies","0501301","Actuarial Studies - General"
,,"0903301","Insurance - General"
"081105","Investment and Securities","0903115","Investment"
,,"0903120","Stockbroking"
,,"0903125","Financial Management"
"081199","Banking, Finance and Related Fields, n.e.c.","0903125","Financial Management"
"089901","Purchasing, Warehousing and Distribution","0903510","Wholesaling & Distribution"
,,"0903540","Purchasing"
,,"0903545","Inventory/Stock Control"
,,"0903601","Transport - General"
,,"0903610","Transport Of Dangerous Goods"
"089903","Valuation","0903215","Valuation - Land/Property"
"089999","Management and Commerce, n.e.c.","0904110","Administration"
"09","SOCIETY AND CULTURE",,
"090101","Political Science","0206101","Political Science - General"
,,"0206110","Politics"
,,"0206201","National, State Local Government Institutions - General"
,,"0206210","International Inter-Government Institutions"
"090103","Policy Studies","0204310","Social Welfare Policy"
,,"0206101","Political Science - General"
"090301","Sociology","0207101","Sociology - General"
"090303","Anthropology","0207201","Anthropology - General"
,,"0207210","Ethnology"
"090305","History","0102101","History - General"
,,"0301110","History & Philosophy Of Education"
,,"0601110","Art History & Appreciation"
"090307","Archaeology","0102201","Archaeology - General"
"090309","Human Geography","0202101","Geography - General"
,,"0202201","Human Geography - General"
,,"0202210","Demography"
,,"0202215","Political Geography"
,,"0202220","Economic Geography"
,,"0202225","Social Geography"
,,"0202230","Urban Geography"
"090311","Indigenous Studies","0104301","Aboriginal Studies - General"
,,"0104310","Aboriginal Communities"
,,"0104315","Aboriginal Politics & Administration"
,,"0104320","Aboriginal History"
,,"0104330","Aboriginal Art & Culture"
,,"0104335","Aboriginal Land Management"
"090313","Gender Specific Studies","0207301","Women’s Studies - General"
