"ASCED Field of Education",,"FOSCTEC",
"030505","Automotive Electrics and Electronics","060212","Automotive Engineering/technologies"
"030507","Automotive Vehicle Refinishing","060212","Automotive Engineering/technologies"
"030509","Automotive Body Construction","060212","Automotive Engineering/technologies"
"030511","Panel Beating","060212","Automotive Engineering/technologies"
"030513","Upholstery and Vehicle Trimming","060212","Automotive Engineering/technologies"
"030515","Automotive Vehicle Operations","110302","Transportation/materials Handling Operators"
"030599","Automotive Engineering and Technology, n.e.c.","060212","Automotive Engineering/technologies"
"030701","Mechanical Engineering","060209","Mechanical Engineering/technologies, Fabrication"
"030703","Industrial Engineering","060207","Industrial Engineering/technologies"
"030705","Toolmaking","060209","Mechanical Engineering/technologies, Fabrication"
"030707","Metal Fitting, Turning and Machining","060209","Mechanical Engineering/technologies, Fabrication"
"030709","Sheetmetal Working","060209","Mechanical Engineering/technologies, Fabrication"
"030711","Boilermaking and Welding","060209","Mechanical Engineering/technologies, Fabrication"
"030713","Metal Casting and Patternmaking","060210","Metallurgical Engineering/technologies"
"030715","Precision Metalworking","060299","Engineering and Related Technologies - Other"
"030717","Plant and Machine Operations","060203","Chemical/Plastics Engineering/technologies"
,,"060204","Civil, Structural Engineering/technologies"
,,"060205","Electrical Engineering/technologies"
,,"060206","Electronic, Computer, Communications Engineering/technologies"
,,"060207","Industrial Engineering/technologies"
,,"060210","Metallurgical Engineering/technologies"
,,"060211","Mining/Minerals Engineering/technologies"
"030799","Mechanical and Industrial Engineering and Technology, n.e.c.","060209","Mechanical Engineering/technologies, Fabrication"
"030901","Construction Engineering","020306","Building Construction"
,,"060204","Civil, Structural Engineering/technologies"
"030903","Structural Engineering","060204","Civil, Structural Engineering/technologies"
"030905","Building Services Engineering","060204","Civil, Structural Engineering/technologies"
"030907","Water and Sanitary Engineering","060204","Civil, Structural Engineering/technologies"
"030909","Transport Engineering","020401","Urban and Regional Planning - General"
,,"060204","Civil, Structural Engineering/technologies"
"030911","Geotechnical Engineering","060204","Civil, Structural Engineering/technologies"
"030913","Ocean Engineering","060204","Civil, Structural Engineering/technologies"
"030999","Civil Engineering, n.e.c.","060204","Civil, Structural Engineering/technologies"
"031101","Surveying","060303","Surveying, Survey Drafting"
"031103","Mapping Science","060302","Cartography"
"031199","Geomatic Engineering, n.e.c.","060399","Surveying - Other"
"031301","Electrical Engineering","060205","Electrical Engineering/technologies"
"031303","Electronic Engineering","060206","Electronic, Computer, Communications Engineering/technologies"
"031305","Computer Engineering","060206","Electronic, Computer, Communications Engineering/technologies"
"031307","Communications Technologies","060206","Electronic, Computer, Communications Engineering/technologies"
"031309","Communications Equipment Installation and Maintenance","060206","Electronic, Computer, Communications Engineering/technologies"
"031311","Powerline Installation and Maintenance","060205","Electrical Engineering/technologies"
"031313","Electrical Fitting, Electrical Mechanics","060205","Electrical Engineering/technologies"
"031315","Refrigeration and Air Conditioning Mechanics","060213","Environmental Engineering/technologies"
"031317","Electronic Equipment Servicing","060206","Electronic, Computer, Communications Engineering/technologies"
"031399","Electrical and Electronic Engineering and Technology, n.e.c.","060205","Electrical Engineering/technologies"
,,"060206","Electronic, Computer, Communications Engineering/technologies"
"031501","Aerospace Engineering","060202","Aeronautical Engineering/technologies"
"031503","Aircraft Maintenance Engineering","060202","Aeronautical Engineering/technologies"
"031505","Aircraft Operation","110302","Transportation/materials Handling Operators"
"031507","Air Traffic Control","110303","Transportation/materials Storage Services"
"031599","Aerospace Engineering and Technology, n.e.c.","060202","Aeronautical Engineering/technologies"
"031701","Maritime Engineering","060208","Marine Engineering/technologies"
"031703","Marine Construction","060208","Marine Engineering/technologies"
"031705","Marine Craft Operation","010601","Fishing and Fisheries - General"
,,"090504","Nautical Science"
,,"110302","Transportation/materials Handling Operators"
"031799","Maritime Engineering and Technology, n.e.c.","060299","Engineering and Related Technologies - Other"
"039901","Environmental Engineering","090306","Environmental Science"
"039903","Biomedical Engineering","060299","Engineering and Related Technologies - Other"
"039905","Fire Technology","060299","Engineering and Related Technologies - Other"
"039907","Rail Operations","110302","Transportation/materials Handling Operators"
"039909","Cleaning","110205","Hotel, Hospitality, Tourism"
"039999","Engineering and Related Technologies, n.e.c.","060299","Engineering and Related Technologies - Other"
"04","ARCHITECTURE AND BUILDING",,
"040101","Architecture","020201","Architecture - General"
,,"020299","Architecture - Other"
"040103","Urban Design and Regional Planning","020401","Urban and Regional Planning - General"
"040105","Landscape Architecture","020203","Landscape Architecture"
"040107","Interior and Environmental Design","020202","Environmental Design"
,,"020303","Interior Design/Decoration"
"040199","Architecture and Urban Environment, n.e.c.","020299","Architecture - Other"
"040301","Building Science and Technology","020302","Building Technology"
"040303","Building Construction Management","020302","Building Technology"
"040305","Building Surveying","020306","Building Construction"
"040307","Building Construction Economics","020304","Quantity Surveying"
"040309","Bricklaying and Stonemasonry","020305","Bricklaying, Stonemasonry, Tile Fixing, Concreting"
"040311","Carpentry and Joinery","020308","Carpentry, Joinery"
"040313","Ceiling, Wall and Floor Fixing","020305","Bricklaying, Stonemasonry, Tile Fixing, Concreting"
,,"020309","Ceiling, Wall, Floor and Roof Fixing, Plastering"
"040315","Roof Fixing","020309","Ceiling, Wall, Floor and Roof Fixing, Plastering"
"040317","Plastering","020309","Ceiling, Wall, Floor and Roof Fixing, Plastering"
"040319","Furnishing Installation","020310","Furnishing, Floor Covering"
"040321","Floor Coverings","020310","Furnishing, Floor Covering"
"040323","Glazing","020311","Glazing"
"040325","Painting, Decorating and Sign Writing","020312","Painting, Decorating, Signwriting"
"040327","Plumbing","020313","Plumbing, Gas-fitting, Draining"
"040329","Scaffolding and Rigging","020399","Building - Other"
"040399","Building, n.e.c.","020305","Bricklaying, Stonemasonry, Tile Fixing, Concreting"
,,"020399","Building - Other"
"05","AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",,
"050101","Agricultural Science","010201","Agriculture, Forestry - General"
,,"010207","Agronomy"
,,"010299","Agriculture, Forestry - Other"
"050103","Wool Science","010302","Animal Farming/Breeding"
"050105","Animal Husbandry","010301","Animal Husbandry - General"
,,"010302","Animal Farming/Breeding"
,,"010399","Animal Husbandry - Other"
"050199","Agriculture, n.e.c.","010299","Agriculture, Forestry - Other"
,,"010501","Agricultural/Land/Rural Services and Supplies - General"
"050301","Horticulture","010205","Horticulture - Ornamental and Utilitarian"
"050303","Viticulture","010206","Viticulture and Oenology"
"050501","Forestry Studies","010201","Agriculture, Forestry - General"
,,"010202","Forestry and Timber"
,,"010299","Agriculture, Forestry - Other"
"050701","Aquaculture","010601","Fishing and Fisheries - General"
"050799","Fisheries Studies, n.e.c.","010601","Fishing and Fisheries - General"
"050901","Land, Parks and Wildlife Management","010401","Land, Parks and Agriculture Management - General"
,,"010403","Parks and Wildlife Management"
,,"010499","Land, Parks and Agriculture Management - Other"
"050999","Environmental Studies, n.e.c.","010404","Conservation"
,,"010499","Land, Parks and Agriculture Management - Other"
,,"090306","Environmental Science"
"059901","Pest and Weed Control","010299","Agriculture, Forestry - Other"
"059999","Agriculture, Environmental and Related Studies, n.e.c.","010299","Agriculture, Forestry - Other"
,,"010501","Agricultural/Land/Rural Services and Supplies - General"
"06","HEALTH",,
"060101","General Medicine","070503","Medicine, Medical Aid"
"060103","Surgery","070503","Medicine, Medical Aid"
"060105","Psychiatry","070503","Medicine, Medical Aid"
"060107","Obstetrics and Gynaecology","070503","Medicine, Medical Aid"
"060109","Paediatrics","070503","Medicine, Medical Aid"
"060111","Anaesthesiology","070503","Medicine, Medical Aid"
"060113","Pathology","070503","Medicine, Medical Aid"
"060115","Radiology","070503","Medicine, Medical Aid"
"060117","Internal Medicine","070503","Medicine, Medical Aid"
"060119","General Practice","070503","Medicine, Medical Aid"
"060199","Medical Studies, n.e.c.","070503","Medicine, Medical Aid"
,,"070599","Medical Science, Medicine - Other"
"060301","General Nursing","070402","Nursing and Nursing Support - Basic"
,,"070403","Nursing and Nursing Support - Post-basic"
"060303","Midwifery","070402","Nursing and Nursing Support - Basic"
,,"070403","Nursing and Nursing Support - Post-basic"
"060305","Mental Health Nursing","070402","Nursing and Nursing Support - Basic"
,,"070403","Nursing and Nursing Support - Post-basic"
"060307","Community Nursing","070402","Nursing and Nursing Support - Basic"
,,"070403","Nursing and Nursing Support - Post-basic"
"060309","Critical Care Nursing","070403","Nursing and Nursing Support - Post-basic"
"060311","Aged Care Nursing","070402","Nursing and Nursing Support - Basic"
,,"070403","Nursing and Nursing Support - Post-basic"
"060313","Palliative Care Nursing","070403","Nursing and Nursing Support - Post-basic"
"060315","Mothercraft Nursing and Family and Child Health Nursing","070402","Nursing and Nursing Support - Basic"
,,"070403","Nursing and Nursing Support - Post-basic"
"060399","Nursing, n.e.c.","070403","Nursing and Nursing Support - Post-basic"
"060501","Pharmacy","070408","Pharmacy"
"060701","Dentistry","070202","Dentistry and Dentistry Support"
"060703","Dental Assisting","070202","Dentistry and Dentistry Support"
"060705","Dental Technology","070204","Dental Technology"
"060799","Dental Studies, n.e.c.","070203","Dental Therapy"
,,"070299","Dental Services - Other"
"060901","Optometry","070407","Optometry, Optical Technology"
"060903","Optical Technology","070407","Optometry, Optical Technology"
"060999","Optical Science, n.e.c.","070407","Optometry, Optical Technology"
"061101","Veterinary Science","100101","Veterinary Science, Animal Care - General"
"061103","Veterinary Assisting","100101","Veterinary Science, Animal Care - General"
"061199","Veterinary Studies, n.e.c.","100101","Veterinary Science, Animal Care - General"
"061301","Occupational Health and Safety","070305","Occupational Health and Safety"
"061303","Environmental Health","070304","Health Surveying/Inspection, Environmental Health"
"061305","Indigenous Health","070399","Health Support Activities - Other"
"061307","Health Promotion","070303","Health Counselling"
,,"070799","Community, Family, Personal Health Care - Other"
"061309","Community Health","070303","Health Counselling"
,,"070701","Community, Family, Personal Health Care - General"
,,"070799","Community, Family, Personal Health Care - Other"
"061311","Epidemiology","070304","Health Surveying/Inspection, Environmental Health"
"061399","Public Health, n.e.c.","070304","Health Surveying/Inspection, Environmental Health"
,,"070399","Health Support Activities - Other"
"061501","Radiography","070404","Medical Imaging"
"061701","Physiotherapy","070603","Physiotherapy"
"061703","Occupational Therapy","070602","Occupational Therapy"
"061705","Chiropractic and Osteopathy","070603","Physiotherapy"
"061707","Speech Pathology","070604","Speech Pathology, Audiology"
"061709","Audiology","070604","Speech Pathology, Audiology"
"061711","Massage Therapy","070699","Rehabilitation Services - Other"
"061713","Podiatry","070409","Podiatry"
"061799","Rehabilitation Therapies, n.e.c.","070699","Rehabilitation Services - Other"
"061901","Naturopathy","070499","Health Sciences and Technologies - Other"
"061903","Acupuncture","070499","Health Sciences and Technologies - Other"
"061905","Traditional Chinese Medicine","070499","Health Sciences and Technologies - Other"
"061999","Complementary Therapies, n.e.c.","070499","Health Sciences and Technologies - Other"
"069901","Nutrition and Dietetics","070406","Nutrition and Dietetics"
"069903","Human Movement","090309","Human Movement, Sports Science"
"069905","Paramedical Studies","070499","Health Sciences and Technologies - Other"
"069907","First Aid","070499","Health Sciences and Technologies - Other"
"069999","Health, n.e.c.","070499","Health Sciences and Technologies - Other"
"07","EDUCATION",,
"070101","Teacher Education: Early Childhood","050202","Initial Early Childhood Teacher Education"
,,"050302","Post-initial Early Childhood Teacher Education"
"070103","Teacher Education: Primary","050203","Initial Primary Teacher Education"
,,"050303","Post-initial Primary Teacher Education"
"070105","Teacher Education: Secondary","050204","Initial Secondary Teacher Education"
,,"050304","Post-initial Secondary Teacher Education"
"070107","Teacher-Librarianship","050599","Other Teacher/trainer Education - Other"
"070109","Teacher Education: Vocational Education and Training","050205","Initial TAFE Teacher Education"
,,"050305","Post-initial TAFE Teacher Education"
"070111","Teacher Education: Higher Education","050503","Tertiary Educator Education"
"070113","Teacher Education: Special Education","050206","Initial Special Teacher Education"
,,"050306","Post-initial Special Teacher Education"
"070115","English as a Second Language Teaching","050599","Other Teacher/trainer Education - Other"
"070117","Nursing Education Teacher Training","050502","Nurse and Health Educators Education"
"070199","Teacher Education, n.e.c.","050299","Initial School/TAFE Level Teacher Education - Other"
,,"050399","Post-initial School/TAFE Level Teacher Education - Other"
,,"050501","Other Teacher/trainer Education - General"
,,"050599","Other Teacher/trainer Education - Other"
"070301","Curriculum Studies","050499","Education Other Than Teacher/trainer Education - Other"
"070303","Education Studies","050499","Education Other Than Teacher/trainer Education - Other"
"079999","Education, n.e.c.","050499","Education Other Than Teacher/trainer Education - Other"
"08","MANAGEMENT AND COMMERCE",,
"080101","Accounting","040202","Accounting"
"080301","Business Management","040203","Administration, General Management and Supervision"
,,"040216","Small Business Management"
"080303","Human Resource Management","040203","Administration, General Management and Supervision"
,,"040209","Personnel Management and Development"
"080305","Personal Management Training","040299","Business, Administration, Management - Other"
"080307","Organisation Management","040203","Administration, General Management and Supervision"
,,"040299","Business, Administration, Management - Other"
"080309","Industrial Relations","040206","Industrial Relations"
"080311","International Business","040208","Marketing, Distribution, Import/Export"
"080313","Public and Health Care Administration","040210","Public Administration"
,,"050402","Educational Administration"
,,"070302","Health and Health Care Administration"
,,"070399","Health Support Activities - Other"
"080315","Project Management","040201","Business, Administration, Management - General"
,,"040203","Administration, General Management and Supervision"
"080317","Quality Management","040203","Administration, General Management and Supervision"
"080319","Hospitality Management","110205","Hotel, Hospitality, Tourism"
"080321","Farm Management and Agribusiness","010402","Rural Management"
"080323","Tourism Management","110205","Hotel, Hospitality, Tourism"
"080399","Business and Management, n.e.c.","030216","Recreation Studies"
,,"040299","Business, Administration, Management - Other"
"080501","Sales","110402","Clothing, Clothing Materials"
,,"110403","Footwear, Leatherwork"
,,"110499","Apparel Sales, Services - Other"
,,"110503","Home Furnishings"
"080503","Real Estate","040212","Valuation and Real Estate"
"080505","Marketing","040208","Marketing, Distribution, Import/Export"
"080507","Advertising","040214","Advertising, Public Relations"
"080509","Public Relations","040214","Advertising, Public Relations"
"080599","Sales and Marketing, n.e.c.","010501","Agricultural/Land/Rural Services and Supplies - General"
,,"040299","Business, Administration, Management - Other"
,,"110499","Apparel Sales, Services - Other"
,,"110503","Home Furnishings"
"080701","Tourism","110205","Hotel, Hospitality, Tourism"
,,"110299","Food/Beverage, Hospitality, Tourism"
"080901","Secretarial and Clerical Studies","040211","Secretarial, Word-Processing, Clerical"
"080903","Keyboard Skills","040211","Secretarial, Word-Processing, Clerical"
"080905","Practical Computing Skills","040205","Business/Administration Data Processing"
,,"040211","Secretarial, Word-Processing, Clerical"
"080999","Office Studies, n.e.c.","040299","Business, Administration, Management - Other"
"081101","Banking and Finance","040204","Banking, Finance, Investment"
"081103","Insurance and Actuarial Studies","040213","Actuarial Studies, Insurance"
"081105","Investment and Securities","040204","Banking, Finance, Investment"
"081199","Banking, Finance and Related Fields, n.e.c.","040299","Business, Administration, Management - Other"
"089901","Purchasing, Warehousing and Distribution","040208","Marketing, Distribution, Import/Export"
,,"110302","Transportation/materials Handling Operators"
,,"110303","Transportation/materials Storage Services"
"089903","Valuation","040212","Valuation and Real Estate"
"089999","Management and Commerce, n.e.c.","040299","Business, Administration, Management - Other"
"09","SOCIETY AND CULTURE",,
"090101","Political Science","030214","Political Science and Government"
"090103","Policy Studies","030299","Humanities and Social Sciences - Other"
"090301","Sociology","030219","Sociology"
"090303","Anthropology","030203","Anthropology"
"090305","History","030209","History"
,,"040303","Economic History"
"090307","Archaeology","030204","Archaeology"
"090309","Human Geography","030205","Area and Ethnic Studies"
,,"030208","Geography"
,,"030219","Sociology"
"090311","Indigenous Studies","030202","Aboriginal Studies"
"090313","Gender Specific Studies","030221","Women’s Studies"
"090399","Studies in Human Society, n.e.c.","030205","Area and Ethnic Studies"
,,"030212","Multicultural Studies"
"090501","Social Work","030218","Social Work"
,,"070704","Family Care, Community Services"
"090503","Children’s Services","070702","Child Care, Residential Client Care, Care for Disabled"
"090505","Youth Work","070702","Child Care, Residential Client Care, Care for Disabled"
"090507","Care for the Aged","070702","Child Care, Residential Client Care, Care for Disabled"
,,"070704","Family Care, Community Services"
"090509","Care for the Disabled","070702","Child Care, Residential Client Care, Care for Disabled"
"090511","Residential Client Care","070702","Child Care, Residential Client Care, Care for Disabled"
"090513","Counselling","030207","Counselling"
,,"050403","Educational Counselling"
,,"070303","Health Counselling"
,,"070704","Family Care, Community Services"
"090515","Welfare Studies","030220","Welfare Studies"
,,"070704","Family Care, Community Services"
"090599","Human Welfare Studies and Services, n.e.c.","030220","Welfare Studies"
,,"070704","Family Care, Community Services"
"090701","Psychology","030215","Psychology"
"090799","Behavioural Science, n.e.c.","030299","Humanities and Social Sciences - Other"
"090901","Business and Commercial Law","080299","Law - Other"
"090903","Constitutional Law","080201","Law - General"
"090905","Criminal Law","080201","Law - General"
"090907","Family Law","080201","Law - General"
"090909","International Law","080299","Law - Other"
"090911","Taxation Law","080299","Law - Other"
"090913","Legal Practice","080203","Legal Practice"
"090999","Law, n.e.c.","080299","Law - Other"
"091101","Justice Administration","080302","Justice Administration"
"091103","Legal Studies","080202","Jurisprudence"
,,"080401","Legal Studies - General"
"091105","Police Studies","080303","Law Enforcement"
"091199","Justice and Law Enforcement, n.e.c.","080399","Justice Administration, Law Enforcement - Other"
"091301","Librarianship and Information Management","030210","Library and Archival Studies"
"091303","Curatorial Studies","030210","Library and Archival Studies"
,,"030402","Conservation of Art and Cultural Material"
"091501","English Language","030305","English Language"
,,"120302","English as a Second Language"
"091503","Northern European Languages","030303","European Languages other than English"
"091505","Southern European Languages","030303","European Languages other than English"
"091507","Eastern European Languages","030303","European Languages other than English"
"091509","Southwest Asian and North African Languages","030302","Asian Languages"
,,"030306","Languages other than English, European and Asian"
"091511","Southern Asian Languages","030302","Asian Languages"
"091513","Southeast Asian Languages","030302","Asian Languages"
"091515","Eastern Asian Languages","030302","Asian Languages"
"091517","Australian Indigenous Languages","030306","Languages other than English, European and Asian"
"091519","Translating and Interpreting","030307","Translating"
"091521","Linguistics","030304","Linguistics"
"091523","Literature","030211","Literary Studies"
"091599","Language and Literature, n.e.c.","030306","Languages other than English, European and Asian"
,,"030399","Language Studies - Other"
"091701","Philosophy","030213","Philosophy"
"091703","Religious Studies","030217","Religion and Theology"
"091901","Economics","040301","Economics - General"
,,"040302","Agricultural Economics"
,,"040399","Economics - Other"
"091903","Econometrics","040304","Economic Statistics, Econometrics"
"092101","Sport and Recreation Activities","030216","Recreation Studies"
,,"070705","Personal Health/Social/Recreational Education"
"092103","Sports Coaching, Officiating and Instruction","030216","Recreation Studies"
"092199","Sport and Recreation, n.e.c.","030216","Recreation Studies"
"099901","Family and Consumer Studies","030299","Humanities and Social Sciences - Other"
,,"040215","Home Management"
"099903","Criminology","030299","Humanities and Social Sciences - Other"
"099905","Security Services","030299","Humanities and Social Sciences - Other"
"099999","Society and Culture, n.e.c.","030299","Humanities and Social Sciences - Other"
"10","CREATIVE ARTS",,
"100101","Music","030409","Music"
"100103","Drama and Theatre Studies","030405","Dramatic Arts"
"100105","Dance","030404","Dance"
"100199","Performing Arts, n.e.c.","030499","Visual and Performing Arts - Other"
"100301","Fine Arts","030407","Fine Arts"
"100303","Photography","030406","Film and Photographic Arts"
"100305","Crafts","030403","Crafts, Ornaments"
"100307","Jewellery Making","030403","Crafts, Ornaments"
"100309","Floristry","030403","Crafts, Ornaments"
"100399","Visual Arts and Crafts, n.e.c.","030499","Visual and Performing Arts - Other"
"100501","Graphic Arts and Design Studies","030408","Graphic Arts and Design"
"100503","Textile Design","030499","Visual and Performing Arts - Other"
"100505","Fashion Design","030410","Fashion Design"
"100599","Graphic and Design Studies, n.e.c.","030499","Visual and Performing Arts - Other"
"100701","Audio Visual Studies","030206","Communications, Journalism, Broadcasting"
,,"030406","Film and Photographic Arts"
,,"050404","Education Media"
"100703","Journalism","030206","Communications, Journalism, Broadcasting"
,,"050404","Education Media"
"100705","Written Communication","030206","Communications, Journalism, Broadcasting"
"100707","Verbal Communication","030206","Communications, Journalism, Broadcasting"
"100799","Communication and Media Studies, n.e.c.","030206","Communications, Journalism, Broadcasting"
,,"050404","Education Media"
"109999","Creative Arts, n.e.c.","030499","Visual and Performing Arts - Other"
"11","FOOD, HOSPITALITY AND PERSONAL SERVICES",,
"110101","Hospitality","110205","Hotel, Hospitality, Tourism"
"110103","Food and Beverage Service","110205","Hotel, Hospitality, Tourism"
"110105","Butchery","110203","Butchery"
"110107","Baking and Pastrymaking","110202","Bakery"
"110109","Cookery","110204","General Cookery"
"110111","Food Hygiene","070304","Health Surveying/Inspection, Environmental Health"
"110199","Food and Hospitality, n.e.c.","110299","Food/Beverage, Hospitality, Tourism"
"110301","Beauty Therapy","110502","Hairdressing, Cosmetology"
"110303","Hairdressing","110502","Hairdressing, Cosmetology"
"110399","Personal Services, n.e.c.","110599","Other Services - Other"
"12","MIXED FIELD PROGRAMMES",,
"120101","General Primary and Secondary Education Programmes","120304","General Secondary Education, Qualifying Education"
"120103","Literacy and Numeracy Programmes","120303","Functional Literacy, Numeracy"
"120105","Learning Skills Programmes","120306","School-Tertiary Education Link Courses"
"120199","General Education Programmes, n.e.c.","120301","TAFE Multi-field Basic Education - General"
"120301","Social and Interpersonal Skills Programmes","120305","General Skills Development"
"120303","Survival Skills Programmes","0","No correspondence"
"120305","Parental Education Programmes","120305","General Skills Development"
"120399","Social Skills Programmes, n.e.c.","120399","TAFE Multi-field Basic Education - Other"
"120501","Career Development Programmes","120202","Pre-vocational/Pre-employment Spanning Broad Fields"
"120503","Job Search Skills Programmes","120202","Pre-vocational/Pre-employment Spanning Broad Fields"
"120505","Work Practices Programmes","120202","Pre-vocational/Pre-employment Spanning Broad Fields"
"120599","Employment Skills Programmes, n.e.c.","120202","Pre-vocational/Pre-employment Spanning Broad Fields"
,,"120299","Multi-broad-field TAFE Vocational Education - Other"
"129999","Mixed Field Programmes, n.e.c.","0","No correspondence"

"Source: Australian Bureau of Statistics, Appendix 8, ASCED - FOSCTEC Correspondence Table 2001"
