"ABSCQ Field of Study",,"ASCED Field of Education",
,,"060501","Pharmacy"
"232","Physiotherapy","061701","Physiotherapy"
"233","Occupational Therapy","061703","Occupational Therapy"
"234","Radiography","061501","Radiography"
"235","Optometry","060901","Optometry"
,,"060903","Optical Technology"
,,"060999","Optical Science, n.e.c."
"236","Chiropractic","061705","Chiropractic and Osteopathy"
"237","Speech Pathology","061707","Speech Pathology"
"238","Nutrition and Dietetics","069901","Nutrition and Dietetics"
"239","Health Sciences, n.e.c.","061705","Chiropractic and Osteopathy"
,,"061709","Audiology"
,,"061711","Massage Therapy"
,,"061713","Podiatry"
,,"061799","Rehabilitation Therapies, n.e.c."
,,"061901","Naturopathy"
,,"061903","Acupuncture"
,,"061905","Traditional Chinese Medicine"
,,"061999","Complementary Therapies, n.e.c."
,,"069903","Human Movement"
,,"092101","Sport and Recreation Activities"
,,"092103","Sports Coaching, Officiating and Instruction"
"241","Dental Science","060701","Dentistry"
,,"060799","Dental Studies, n.e.c."
"242","Dental Assisting","060703","Dental Assisting"
,,"060799","Dental Studies, n.e.c."
"243","Dental Technology","060705","Dental Technology"
"251","Veterinary Science","061101","Veterinary Science"
,,"061199","Veterinary Studies, n.e.c."
"252","Veterinary Assisting","061103","Veterinary Assisting"
"291","Ambulance Service","069905","Paramedical Studies"
"292","Occupational Health and Safety","061301","Occupational Health and Safety"
"299","Other Health, n.e.c.","061303","Environmental Health"
,,"061305","Indigenous Health"
,,"061307","Health Promotion"
,,"061309","Community Health"
,,"061311","Epidemiology"
,,"061399","Public Health, n.e.c."
,,"069907","First Aid"
,,"069999","Health, n.e.c."
"3","EDUCATION",,
"311","Early Childhood Teaching","070101","Teacher Education: Early Childhood"
"312","Primary Teaching","070103","Teacher Education: Primary"
"313","Secondary Teaching","070105","Teacher Education: Secondary"
"314","Teacher-Librarianship","070107","Teacher-Librarianship"
"321","Technical Teaching","070109","Teacher Education: Vocational Education and Training"
"322","Nursing Education","070117","Nursing Education Teacher Training"
"329","Post-School Teacher Training, n.e.c.","070111","Teacher Education: Higher Education"
,,"070199","Teacher Education, n.e.c."
"391","Teaching English as a Second Language","070115","English as a Second Language Teaching"
"392","Special Education","070113","Teacher Education: Special Education"
"399","Other Education, n.e.c.","070301","Curriculum Studies"
,,"070303","Education Studies"
,,"079999","Education, n.e.c."
"4","SOCIETY AND CULTURE",,
"411","Psychology","090701","Psychology"
,,"090799","Behavioural Science, n.e.c."
"412","Sociology and Anthropology","090301","Sociology"
,,"090303","Anthropology"
,,"090307","Archaeology"
"413","Politics","090101","Political Science"
"414","History","090305","History"
,,"090307","Archaeology"
"421","Social Work","090501","Social Work"
"422","Child Care","090503","Children’s Services"
"429","Welfare, n.e.c.","090505","Youth Work"
,,"090507","Care for the Aged"
,,"090509","Care for the Disabled"
,,"090511","Residential Client Care"
,,"090513","Counselling"
,,"090515","Welfare Studies"
,,"090599","Human Welfare Studies and Services, n.e.c."
"431","Librarianship","091301","Librarianship and Information Management"
"441","Literature","091523","Literature"
"442","Languages","091501","English Language"
,,"091503","Northern European Languages"
,,"091505","Southern European Languages"
,,"091507","Eastern European Languages"
,,"091509","Southwest Asian and North African Languages"
,,"091511","Southern Asian Languages"
,,"091513","Southeast Asian Languages"
,,"091515","Eastern Asian Languages"
,,"091517","Australian Indigenous Languages"
,,"091519","Translating and Interpreting"
,,"091521","Linguistics"
,,"091599","Language and Literature, n.e.c."
"449","Language and Area Studies, n.e.c.","090303","Anthropology"
,,"090305","History"
,,"090311","Indigenous Studies"
,,"090399","Studies in Human Society, n.e.c."
,,"091599","Language and Literature, n.e.c."
"451","Religious Studies","091703","Religious Studies"
"452","Philosophy","091701","Philosophy"
"461","Economics","091901","Economics"
,,"091903","Econometrics"
"471","Law","090901","Business and Commercial Law"
,,"090903","Constitutional Law"
,,"090905","Criminal Law"
,,"090907","Family Law"
,,"090909","International Law"
,,"090911","Taxation Law"
,,"090913","Legal Practice"
,,"090999","Law, n.e.c."
,,"091101","Justice Administration"
,,"091103","Legal Studies"
,,"091199","Justice and Law Enforcement, n.e.c."
"481","Music","100101","Music"
"482","Art and Craft","100301","Fine Arts"
,,"100305","Crafts"
"483","Photography","100303","Photography"
"484","Graphic Design","100501","Graphic Arts and Design Studies"
"485","Fashion Design","100505","Fashion Design"
"486","Drama and Dance","100103","Drama and Theatre Studies"
,,"100105","Dance"
"489","Visual and Performing Arts, n.e.c.","100103","Drama and Theatre Studies"
,,"100199","Performing Arts, n.e.c."
,,"100305","Crafts"
,,"100307","Jewellery Making"
,,"100309","Floristry"
,,"100399","Visual Arts and Crafts, n.e.c."
,,"100503","Textile Design"
,,"100599","Graphic and Design Studies, n.e.c."
,,"109999","Creative Arts, n.e.c."
"491","Geography","010799","Earth Sciences, n.e.c."
,,"090309","Human Geography"
"492","Communication","080509","Public Relations"
,,"100701","Audio Visual Studies"
,,"100703","Journalism"
,,"100705","Written Communication"
,,"100707","Verbal Communication"
,,"100799","Communication and Media Studies, n.e.c."
"493","Recreation and Leisure","092101","Sport and Recreation Activities"
,,"092103","Sports Coaching, Officiating and Instruction"
"493","Recreation and Leisure","092199","Sport and Recreation, n.e.c."
"494","Policing Studies","091101","Justice Administration"
,,"091105","Police Studies"
,,"091199","Justice and Law Enforcement, n.e.c."
"499","Other Society and Culture, n.e.c.","040103","Urban Design and Regional Planning"
,,"040199","Architecture and Urban Environment, n.e.c."
,,"080309","Industrial Relations"
,,"090103","Policy Studies"
,,"090309","Human Geography"
,,"090313","Gender Specific Studies"
,,"090399","Studies in Human Society, n.e.c."
,,"091199","Justice and Law Enforcement, n.e.c."
,,"091303","Curatorial Studies"
,,"099901","Family and Consumer Studies"
,,"099903","Criminology"
,,"099999","Society and Culture, n.e.c."
"5","NATURAL AND PHYSICAL SCIENCES",,
"511","Biological Science","010901","Biochemistry and Cell Biology"
,,"010903","Botany"
,,"010907","Marine Science"
,,"010909","Genetics"
,,"010911","Microbiology"
,,"010913","Human Biology"
,,"010915","Zoology"
,,"010999","Biological Sciences, n.e.c."
,,"019901","Medical Science"
,,"019905","Food Science and Biotechnology"
"512","Environmental Science","010905","Ecology and Evolution"
,,"050901","Land, Parks and Wildlife Management"
,,"050999","Environmental Studies, n.e.c."
"521","Physics","010301","Physics"
,,"010303","Astronomy"
"522","Chemistry","010501","Organic Chemistry"
,,"010503","Inorganic Chemistry"
,,"010599","Chemical Sciences, n.e.c."
,,"019907","Pharmacology"
"523","Earth Science","010701","Atmospheric Sciences"
,,"010703","Geology"
,,"010705","Geophysics"
,,"010707","Geochemistry"
,,"010709","Soil Science"
,,"010711","Hydrology"
,,"010713","Oceanography"
,,"010799","Earth Sciences, n.e.c."
"529","Physical Science, n.e.c.","019903","Forensic Science"
"531","Mathematics","010101","Mathematics"
,,"010199","Mathematical Sciences, n.e.c."
"532","Statistics","010103","Statistics"
,,"081103","Insurance and Actuarial Studies"
"541","Computer Science","020101","Formal Language Theory"
,,"020103","Programming"
,,"020105","Computational Theory"
,,"020107","Compiler Construction"
,,"020109","Algorithms"
,,"020111","Data Structures"
,,"020113","Networks and Communications"
,,"020115","Computer Graphics"
,,"020117","Operating Systems"
,,"020119","Artificial Intelligence"
,,"020199","Computer Science, n.e.c."
"541","Computer Science","020301","Conceptual Modelling"
,,"020303","Database Management"
,,"020305","Systems Analysis and Design"
,,"020307","Decision Support Systems"
,,"020399","Information Systems, n.e.c."
,,"029901","Security Science"
,,"029999","Information Technology, n.e.c."
,,"031305","Computer Engineering"
"591","Food Science","019905","Food Science and Biotechnology"
,,"030307","Food Processing Technology"
,,"110111","Food Hygiene"
"592","Laboratory Technology","019909","Laboratory Technology"
"599","Other Natural and Physical Sciences, n.e.c.","019999","Natural and Physical Sciences, n.e.c."
,,"091303","Curatorial Studies"
"6","ENGINEERING",,
"611","Surveying","031101","Surveying"
,,"031199","Geomatic Engineering, n.e.c."
"612","Cartography","031103","Mapping Science"
,,"031199","Geomatic Engineering, n.e.c."
"621","Civil Engineering","030901","Construction Engineering"
,,"030903","Structural Engineering"
,,"030907","Water and Sanitary Engineering"
,,"030909","Transport Engineering"
,,"030911","Geotechnical Engineering"
,,"030913","Ocean Engineering"
,,"030999","Civil Engineering, n.e.c."
"631","Electrical and Electronic Engineering Science","031301","Electrical Engineering"
,,"031303","Electronic Engineering"
,,"031305","Computer Engineering"
,,"031307","Communications Technologies"
"632","Powerline Installation and Maintenance","031311","Powerline Installation and Maintenance"
"633","Electrical Fitting","031313","Electrical Fitting, Electrical Mechanics"
"634","Automotive Electrics","030505","Automotive Electrics and Electronics"
"635","Refrigeration and Air Conditioning Mechanics","031315","Refrigeration and Air Conditioning Mechanics"
"636","Electrical Mechanics","031313","Electrical Fitting, Electrical Mechanics"
"637","Communications Equipment Installation and Maintenance","031309","Communications Equipment Installation and Maintenance"
"638","Electronic Equipment Servicing","031317","Electronic Equipment Servicing"
"639","Electrical and Electronic Engineering, n.e.c.","031399","Electrical and Electronic Engineering and Technology, n.e.c."
"641","Mechanical Engineering Science","030701","Mechanical Engineering"
"642","Toolmaking","030705","Toolmaking"
"643","Metal Fitting, Turning and Machining","030707","Metal Fitting, Turning and Machining"
"644","Sheetmetal Working","030709","Sheetmetal Working"
"645","Boilermaking and Welding","030711","Boilermaking and Welding"
"646","Metal Casting and Patternmaking","030713","Metal Casting and Patternmaking"
"647","Aircraft Maintenance Engineering","031503","Aircraft Maintenance Engineering"
"648","Precision Metal Working","030715","Precision Metalworking"
"649","Mechanical Engineering, n.e.c.","030305","Materials Engineering"
,,"030799","Mechanical and Industrial Engineering and Technology, n.e.c."
"651","Metallurgical Engineering Science","030305","Materials Engineering"
"652","Mining Engineering Science","030303","Mining Engineering"
"659","Metallurgical and Mining Engineering, n.e.c.","030303","Mining Engineering"
,,"030305","Materials Engineering"
,,"030399","Process and Resources Engineering, n.e.c."
"661","Compositing","030103","Printing"
"662","Graphic Reproduction","030103","Printing"
"663","Printing Machining","030103","Printing"
"664","Binding and Finishing","030103","Printing"
"665","Screen Printing","030103","Printing"
"669","Printing, n.e.c.","030103","Printing"
"671","Automotive Engineering Science","030501","Automotive Engineering"
"672","Vehicle Mechanics","030503","Vehicle Mechanics"
"673","Panel Beating","030511","Panel Beating"
"674","Vehicle Painting","030507","Automotive Vehicle Refinishing"
"675","Vehicle Building","030509","Automotive Body Construction"
"676","Vehicle Trimming","030513","Upholstery and Vehicle Trimming"
"679","Automotive Engineering, n.e.c.","030599","Automotive Engineering and Technology, n.e.c."
"681","Textile Engineering Science","030105","Textile Making"
,,"030717","Plant and Machine Operations"
"682","Garment Making","030107","Garment Making"
"683","Upholstery","030115","Furniture Upholstery and Renovation"
"684","Footwear","030109","Footwear Making"
"689","Textiles, Clothing and Footwear, n.e.c.","030105","Textile Making"
,,"030199","Manufacturing Engineering and Technology, n.e.c."
,,"039909","Cleaning"
"691","Chemical Engineering Science","030301","Chemical Engineering"
"692","Aeronautical Engineering Science","031501","Aerospace Engineering"
,,"031599","Aerospace Engineering and Technology, n.e.c."
"693","Industrial Engineering Science","030101","Manufacturing Engineering"
,,"030703","Industrial Engineering"
"694","Marine Engineering Science","031701","Maritime Engineering"
"695","Other Engineering Science","030303","Mining Engineering"
,,"030913","Ocean Engineering"
,,"031799","Maritime Engineering and Technology, n.e.c."
,,"039901","Environmental Engineering"
,,"039903","Biomedical Engineering"
,,"039999","Engineering and Related Technologies, n.e.c."
"696","Marine Construction","031703","Marine Construction"
"697","Wood Machining and Turning","030111","Wood Machining and Turning"
"698","Cabinet Making","030113","Cabinet Making"
"699","Other Engineering, n.e.c.","030117","Furniture Polishing"
,,"030199","Manufacturing Engineering and Technology, n.e.c."
,,"030305","Materials Engineering"
,,"030399","Process and Resources Engineering, n.e.c."
,,"030799","Mechanical and Industrial Engineering and Technology, n.e.c."
,,"039999","Engineering and Related Technologies, n.e.c."
,,"080317","Quality Management"
,,"100501","Graphic Arts and Design Studies"
,,"100599","Graphic and Design Studies, n.e.c."
"7","ARCHITECTURE AND BUILDING",,
"711","Architecture","040101","Architecture"
"712","Interior Design","040107","Interior and Environmental Design"
"719","Building Design, n.e.c.","040105","Landscape Architecture"
,,"040107","Interior and Environmental Design"
,,"040199","Architecture and Urban Environment, n.e.c."
"721","Building Technology","040301","Building Science and Technology"
,,"040303","Building Construction Management"
"722","Carpentry and Joinery","040311","Carpentry and Joinery"
"723","Bricklaying","040309","Bricklaying and Stonemasonry"
"724","Painting, Decorating and Signwriting","040325","Painting, Decorating and Sign Writing"
"725","Plastering","040317","Plastering"
"726","Plumbing","030907","Water and Sanitary Engineering"
,,"040327","Plumbing"
"727","Roof Fixing","040315","Roof Fixing"
"728","Floor and Wall Tiling","040313","Ceiling, Wall and Floor Fixing"
"729","Building Construction, n.e.c.","030905","Building Services Engineering"
,,"040305","Building Surveying"
,,"040309","Bricklaying and Stonemasonry"
,,"040329","Scaffolding and Rigging"
"791","Floor Covering","040321","Floor Coverings"
"792","Glass Working","040323","Glazing"
,,"100305","Crafts"
"793","Quantity Surveying","040307","Building Construction Economics"
"799","Other Architecture and Building, n.e.c.","040319","Furnishing Installation"
,,"040329","Scaffolding and Rigging"
,,"040399","Building, n.e.c."
"8","AGRICULTURE AND RELATED FIELDS",,
"811","Agricultural Science","050101","Agricultural Science"
,,"080321","Farm Management and Agribusiness"
"812","Wool Science","050103","Wool Science"
"813","Animal Husbandry","050105","Animal Husbandry"
"819","Agriculture, n.e.c.","050199","Agriculture, n.e.c."
,,"059901","Pest and Weed Control"
,,"059999","Agriculture, Environmental and Related Studies, n.e.c."
"821","Horticulture","050301","Horticulture"
,,"050303","Viticulture"
"891","Fisheries","050701","Aquaculture"
,,"050799","Fisheries Studies, n.e.c."
"892","Forestry","050501","Forestry Studies"
"9","MISCELLANEOUS FIELDS",,
"911","Hairdressing","110303","Hairdressing"
"912","Beauty Therapy","110301","Beauty Therapy"
"921","Meat Processing","030307","Food Processing Technology"
,,"110105","Butchery"
"922","Baking and Pastrycooking","110107","Baking and Pastrymaking"
"923","Cooking","110109","Cookery"
"924","Hospitality Services","080319","Hospitality Management"
,,"110101","Hospitality"
,,"110103","Food and Beverage Service"
"925","Waiting and Bar Service","110103","Food and Beverage Service"
"929","Food and Hospitality Services, n.e.c.","110199","Food and Hospitality, n.e.c."
"931","Ship Operation","031705","Marine Craft Operation"
"932","Aircraft Operation","031505","Aircraft Operation"
"933","Air Traffic Control","031507","Air Traffic Control"
"939","Transport, n.e.c.","030515","Automotive Vehicle Operations"
,,"039907","Rail Operations"
"991","Plant and Machine Operation","030515","Automotive Vehicle Operations"
,,"030717","Plant and Machine Operations"
"992","Fire Technology","039905","Fire Technology"
"999","Other Miscellaneous Fields, n.e.c.","039909","Cleaning"
,,"080317","Quality Management"
,,"089901","Purchasing, Warehousing and Distribution"
,,"092101","Sport and Recreation Activities"
,,"099905","Security Services"
,,"110399","Personal Services, n.e.c."

"Source: Australian Bureau of Statistics, Appendix 5, ABSCQ - ASCED Field Correspondence Table 2001"
